"touser","count","mentions_rank","retweet_rank","average_rank"
"realDonaldTrump",217600,1,7,4
"POTUS",127152,2,1343,672.5
"FoxNews",60538,3,5,4
"ACLU",50194,4,4,4
"YouTube",40254,5,5568,2786.5
"CNN",27127,6,6,6
"nytimes",23074,7,10,8.5
"TarekFatah",16492,8,35,21.5
"Evan_McMullin",14565,10,28,19
"WhiteHouse",12818,11,3016,1513.5
"SpeakerRyan",11977,12,3981,1996.5
"SenWarren",11708,13,20,16.5
"jaketapper",11307,14,76,45
"SenJohnMcCain",11298,15,338,176.5
"Sia",11091,16,91,53.5
"JustinTrudeau",10318,18,4770,2394
"SenSchumer",10022,19,292,155.5
"lsarsour",9601,20,77,48.5
"LouDobbs",9546,21,92,56.5
"KeithOlbermann",9497,22,23,22.5
"dandrezner",9086,23,87,55
"PrisonPlanet",8964,24,2,13
"BreitbartNews",8699,25,1507,766
"chelseahandler",8583,26,118,72
"politicususa",8552,27,642,334.5
"PressSec",8308,28,1154,591
"ShaunKing",7939,30,11,20.5
"AmyMek",7935,31,1,16
"ABC",7864,32,17,24.5
"washingtonpost",7712,33,31,32
"LaurenJauregui",7468,35,390,212.5
"seanhannity",7299,36,1237,636.5
"JudgeJeanine",7111,38,490,264
"AnnCoulter",7050,39,19,29
"TuckerCarlson",6660,40,1599,819.5
"SheriffClarke",6533,41,111,76
"VP",6496,42,4703,2372.5
"NancyPelosi",6414,43,1380,711.5
"CoryBooker",6304,44,319,181.5
"Reuters",6231,46,55,50.5
"AP",6131,47,15,31
"HuffPostPol",6102,48,268,158
"MSNBC",6074,49,492,270.5
"KamalaHarris",6071,50,32,41
"USATODAY",5908,52,201,126.5
"Uber",5783,53,398,225.5
"DeptofDefense",5672,54,183,118.5
"BernieSanders",5672,55,44,49.5
"politico",5500,58,110,84
"JoyAnnReid",5411,59,29,44
"DHSgov",5379,60,1901,980.5
"TRobinsonNewEra",5210,61,37,49
"MailOnline",5203,62,1262,662
"NBCNews",5080,63,149,106
"MoveOn",5064,64,1597,830.5
"keithellison",5022,65,429,247
"CNNPolitics",4975,66,221,143.5
"theintercept",4975,67,260,163.5
"foxandfriends",4929,68,82,75
"voxdotcom",4838,70,95,82.5
"CAIRNational",4723,71,521,296
"seanspicer",4648,72,917,494.5
"thehill",4642,73,3,38
"DailyCaller",4613,75,158,116.5
"azizansari",4512,76,229,152.5
"Recode",4469,77,2422,1249.5
"PamelaGeller",4399,79,40,59.5
"TheDemocrats",4298,80,85,82.5
"JacquiSpence_",4233,83,246,164.5
"samkumpe",4168,85,248,166.5
"RealJamesWoods",4147,86,89,87.5
"MPower_Change",4128,87,2794,1440.5
"WSJ",4122,88,213,150.5
"EntheosShines",4044,91,200,145.5
"ABCPolitics",3928,93,105,99
"TEN_GOP",3842,94,21,57.5
"Mikel_Jollett",3840,95,256,175.5
"womensmarch",3814,96,107,101.5
"Variety",3801,97,116,106.5
"MotherJones",3789,98,290,194
"DineshDSouza",3693,99,233,166
"trump2016fan",3640,100,63,81.5
"piersmorgan",3639,101,553,327
"dcexaminer",3517,104,250,177
"bfraser747",3495,105,51,78
"Ayaan",3494,106,507,306.5
"maddow",3481,107,232,169.5
"guardian",3468,108,279,193.5
"Nigel_Farage",3446,109,80,94.5
"oreillyfactor",3446,110,1327,718.5
"people",3339,111,230,170.5
"CBSNews",3328,112,144,128
"amjoyshow",3328,113,383,248
"V_of_Europe",3317,114,12,63
"SenTedCruz",3304,115,532,323.5
"NPR",3094,118,83,100.5
"islamlie2",3066,119,88,103.5
"billmaher",3048,120,202,161
"AsraNomani",3026,121,1225,673
"KTHopkins",3023,122,258,190
"Lrihendry",2986,123,41,82
"Independent",2980,124,58,91
"NewDelhiTimesIN",2978,125,1144,634.5
"HuffingtonPost",2941,126,97,111.5
"Refugees",2891,128,323,225.5
"RealAlexJones",2863,129,417,273
"LBC",2837,130,3777,1953.5
"BBCNews",2829,131,1651,891
"FAIRImmigration",2795,132,280,206
"netanyahu",2792,133,43,88
"DavidCornDC",2767,135,190,162.5
"NydiaVelazquez",2747,136,1656,896
"MWLOrg_en",2740,137,2864,1500.5
"MLP_officiel",2730,138,645,391.5
"thedailybeast",2709,139,392,265.5
