"fromuser","count"
"LiveEUDebate",238
"1stConsumer",200
"creminsmom",197
"TruVoice30",173
"Brad_D80",121
"Lynn_Rose1",116
"edgecrusher23",99
"TiaCarra",99
"mikehatesevil",96
"SarishkaSingh",94
"ronmolina",85
"SsEeAaLlZz",84
"EntheosShines",79
"miapiatrump",79
"feru012",76
"JackoffJosh711",75
"Youxia88",74
"amperezlbwa",72
"TonyMontana7002",69
"Zelidasquare",68
"tlsg99",68
"ReciteNews",64
"TXIconoclast",62
"Monitor_sur",60
"aroseblush",60
"doggrandma",59
"unlimited_abu",58
"WestonINoble",58
"TheMadHessian",57
"ProdoSuggest6",56
"SekoEngo",56
"Eskandaranya",56
"888Scott",55
"Limbaugh2016",55
"JoshuaStrodeJPN",55
"ProdoSuggest2",54
"crankyallAnimal",54
"nayacoin",54
"GlennMcmillan14",54
"Ralfoo7",54
"DesireeSeattle",51
"Barnamenevis",50
"KayMi123",50
"UKApathyParty",49
"EFavuzza",49
"ukexpat19",49
"wrs1260",49
"ProdoSuggest3",49
"GrammarCheckBot",48
"pt_santy2",48
"kinthenorthwest",48
"Caseysprout",47
"dominickevans",47
"ProdoSuggest",46
"EusebiaAq",46
"ProdoSuggest1",46
"ntvnyr173",46
"ProdoSuggest4",46
"lcaciola883",45
"Private34349909",45
"Heinzilla",45
"psycho4ensics1",44
"Leaha_Luv",44
"StromMcCallum",44
"charjoe2000",43
"TempletonTJones",43
"ezzomo",43
"szymonuak",43
"Whovian_Chick",43
"pandd4074",43
"Zazen555",43
"Pimp_Magnet",42
"WiccanMethusela",42
"TrinityBeliever",42
"EJLandwehr",41
"monica_barona",41
"ErinBSullivan",41
"mnghazi93",41
"PublicAndolan",41
"MoriartyLab",40
"nayaimpact",40
"wrightco0704",40
"JackieEspinal4U",40
"andersencooper",40
"rockysrm77",39
"I_Nate_Higgers_",39
"aintcricket",39
"Gamerben111",39
"tweet4upatriots",38
"Callyboo5",38
"sarcasticboy1",38
"ohkathleenelise",37
"RealFactsMatter",37
"ProdoSuggest5",37
"MJoyce2625",37
"RadicalRW",37
"musejamie",37
"Fanua",37
"CATGUTLEACH295",37
"Fieryreddragon",37
"DebraMMason1",37
"CamilaTwoSpirit",37
"Margi1959",36
"HotNostrilsrFun",36
"RichPerlman",36
"cc_yandian",36
"VicciTrue",36
"leilaclarenas",36
"Tbucsusmc",36
"cairowire",36
"PeterRustin",36
"BillyT_202",36
"EnigmaNetxx",36
"bbdevices",36
"dsanchez913",36
"sue51684",35
"Iceguy75",35
"refoman50",35
"Awhatdafudge",35
"wildauburnrebel",35
"Polys67",35
"WoodsonMolcolm",34
"ndylan1",34
"meanguitar",34
"dearjudge",34
"MamaMadisons",34
"007harvey",34
"MutchTad",34
"JohnBosch68",34
"missb62",34
"K313T888O515",34
"kandylandis2016",34
"Ou812DT",33
"bvulff",33
"pseudosudio",33
"KarenKts11",33
"nobby15",33
"hayzeus29",33
"tvogvo",33
"Anglachelle",33
"ungubunugu1274",33
"ItsTheNewLeft",33
"Tad_mars",33
"BarbaraRacek",33
"varshaoforange",33
"franksowa",33
"ReTweetUrPost",33
"MCKLA2",33
"roomdesign3",32
"lonethumper",32
"RealMuckmaker",32
"supertaschablue",32
"SharNeal",32
"usaforyoubruv",32
"ViridianZer0",32
"USTweetsDistill",32
"NotThreeGuns",32
"TMRzzz",32
"powerglobalus",32
"TRUTH_TWEETERS",32
"JulianDApostate",32
"emyryly",32
"2053pam",32
"Duxgirl27",32
"godtributes",32
"geewhizpat",32
"GinaCarverhall",32
"finite_planet",32
"FLMarEng",32
"StageYaneu",31
"alllibertynews",31
"Trans6amer",31
"doccigar",31
"TrashyChic",31
"DanielleCC1",31
"Michael71507794",31
"jciamcur1",31
"Solutioneer72",31
"clannadlore",31
"SheilaDecker19",31
"gregfahlgren",31
"pantsuitslie",31
"cali_n8vgrl",31
"PeriodicDose",31
"pintukumar0202",31
"PoliticalAnt",31
"Jeannie_Hartley",30
"notiven",30
"CannonballRoll",30
"Mom2theCorps",30
"glpiman",30
"malcolmsareen",30
"bubbaMcDuffy",30
"LordOfMeh",30
"InteliTweeter",30
"Lordozz",30
"AdityaNair20",30
"Michael2014abc",30
"blameocrats",30
"MarieMa49685063",30
"Dragonsnestling",30
"xFaz_",30
"GaryMil26845169",30
"sunnyjune18",30
"fred_burton15",30
"stilllwithher",30
"ro_iain",30
"Trumpisapatriot",30
"RedAnneBolynn",30
"redhed67",30
"Ann6217",29
"WaydeDe",29
"dragonsandy1",29
"WarthogLvr",29
"AnnRoss201111",29
"OmaToSix",29
"donniecomeclean",29
"omkarpawar22",29
"BigKohen",29
"Pernaris",29
"Free_america19",29
"noybsk2017",29
"bistawros",29
"morabitolee6",29
"chavezglen1755",29
"LovelyLowEnd",29
"Arts4life6790",29
"mgd2278",29
"CitronCockatoo",29
"Mihrimah_Irena",29
"asimtwitt",29
"MStein2016",29
"bulldoghill",29
"MarkBraithwait2",29
"liveoakgrove",29
"USVeteran2",29
"1099rock",29
"TrumpWatchNews",29
"kellyz713",28
"tweetsdistilled",28
"Andromodid",28
"swargcoming",28
"ibngibril",28
"tliarch",28
"AnElectofGod",28
"Primusfan87",28
"IrfanSabrina",28
"riotheatherrr",28
"etalkg",28
"WTPatty",28
"hernanaym",28
"von_scrappy",28
"EwanHawking",28
"ZibbyZ",28
"chrizzy100",28
"ztakso",28
"Gas8128",28
"LouiseLowery12",28
"ConservativeGM",28
"mayread3",28
"DoorWay2Fandom",28
"MamieNickles",28
"rgenci57",27
"lyyved",27
"Shimmyfab",27
"meganmckenzie94",27
"RufusTFirefly99",27
"MelissaFazli",27
"udouseless",27
"MohamedThePig",27
"tonywibowo12",27
"Philosocrat",27
"chevymo",27
"Diamondrosegrfx",27
"Chirpinagin",27
"Elimelech_Ring",27
"cmroberts1028",27
"DestoRibelle",27
"cdwilso1953",27
"gamma337",27
"BigMommaFinch2",27
"EspeOppenheimer",27
"Bigotz_4_Lyf",27
"DonAgainstislam",27
"Austins_coffee",27
"Ed_Demolay",27
"49f8f38790164c4",27
"Keeblerqueen",27
"Jamestoupin",27
"jonnydangerous7",27
"jamesmurphypdx",27
"godiskeisha",27
"thejoshuablog",26
"Ahurastan",26
"tigerbeat",26
"jeffcliff1",26
"ssmunsell",26
"1306Chomley",26
"suejohnston56",26
"HellBlazeRaiser",26
"sudischuricht",26
"4Freedom4ever",26
"Trump_Donald_J_",26
"JackdubzTv",26
"LuckyMomIAm",26
"acamara0728",26
"wilmajeanne",26
"drEmanuelJewish",26
"slowpoke1428",26
"amandaspleas",26
"south_attorney",26
"docCKRN",26
"Shanbarani",26
"Amazigh____",26
"redhardino",26
"Eykis",26
"OldmanLogan2008",26
"Cheryl_P12",26
"Natire2u",26
"dwboden",26
"nmomminator",26
"cloudwanderer3",26
"peacelovedixie",26
"Favstar_Bot",26
"CathyTo47590555",26
"eddyrogerparker",26
"DeborahOchoa07",26
"FreakyP88",26
"BMTTG",26
"KarrenKuk",26
"jrgfloor",26
"KnudsenColleen",26
"joysamcyborg",26
"nitarich",25
"frangeladuo",25
"NoyzeSmythe",25
"kellyryanobrien",25
"politically_cor",25
"ConservJean",25
"StephenB_88",25
"LesgartCPA",25
"The_Smirker",25
"demjsm",25
"Tamaralynn212",25
"libertylady44",25
"TitoHajduk",25
"izzuezerss",25
"lucymypet",25
"4est2J",25
"mjohnso27",25
"anne1099",25
