"fromuser","count"
"jciamcur1",78
"LiveEUDebate",74
"mjgranger1",58
"mikehatesevil",58
"Truth_Tellerzz",53
"Eyes_of_justice",51
"SarishkaSingh",51
"ComingUpTheHill",51
"Orthodoxia7",45
"RonRena",43
"nizmycuba",42
"SurveysMedia",42
"akawhit1",41
"mickeytidewater",41
"moneybunnyalice",40
"Andromodid",37
"Non_MSM_News",37
"LJPJoanna",36
"SPK72x",35
"omuluivudu",34
"ammcgloo",33
"TonyMontana7002",32
"AzDeplorable",32
"maidoforleans__",32
"tweet4upatriots",31
"Franktmcveety",31
"KPuckettPE",30
"6549lmartin",28
"Godndguns",28
"Carry_a_40",28
"KaiWhiting",27
"MJW1924",27
"HighVoltageNews",27
"sudischuricht",27
"Tj1701a",27
"Lilis1261",26
"Uchenna114",25
"Lupuz0503",25
"unlimited_abu",25
"DagnyRed",25
"mees_c",24
"MarthaVineyard4",24
"NederlandsGrond",24
"isweovernow",24
"montetjwitter11",23
"HillaryNo1sPres",23
"pinkngreen3",22
"Dragonsnestling",22
"MFS001",22
"DrLaura17",22
"ryzstz_ma",22
"enjoy_murph",22
"AfroLatinoMan",22
"F22Ross",22
"AgendaOfEvil",22
"MamaMadisons",22
"christf21",21
"DiksMeks",21
"csayegh35",21
"UnPoliticalPrty",21
"notiven",21
"smuhalifax",21
"AbergeracBerger",20
"UtamakanNKRI",20
"bvulff",20
"USVeteran2",20
"LorenceHud",20
"WijsTom",20
"workbench59",20
"SkippyManuel",20
"EsamMeb1",19
"TruthTalkerUSA",19
"fickets_",19
"MousseauJim",19
"LoriSums",19
"nwobinonso",19
"PeterJBradley2",19
"Katmcbeez",18
"RobertParham1",18
"FeminineHygiene",18
"RobFender213",18
"mapoulebrancher",18
"Shayar_Ka_Beta",18
"ilipsee",18
"onyematomorrow2",18
"ImposterBuster",18
"ssingapuri",18
"IslamHistorian",18
"SusanIverach",18
"janineyve",18
"PcExtremist",18
"aebkab",18
"Messiesta1",18
"DeborahDemarai1",17
"TrumpReady",17
"aziaone1",17
"trumpsterpistol",17
"conrad1058",17
"politically_cor",17
"creminsmom",17
"ProudInfidel321",17
"DanaBoos3",17
"_mls_mls_",17
"joyreaper",17
"NvrEvrHillary",17
"iamjenwillett",17
"OyigboR",17
"ifezue4u2",17
"tamaraleighllc",17
"jeep_sifu",17
"paulthomas1020",17
"PaulWaldmiller",17
"thelepherds",17
"DRB300",16
"Rparisee",16
"DsSupriyady",16
"Purrpatrol",16
"Johndm1952",16
"virleehol",16
"Fishtiks",16
"Mohamed20202028",16
"klaasvaak1533",16
"Scipio236bc",16
"LatAmFr",16
"ShaharAziz1",16
"GlennMcmillan14",16
"ycneb24",16
"godwin_nwaugo",16
"omkarpawar22",16
