"fromuser","count"
"LiveEUDebate",2618
"RodStryker",2254
"GlennMcmillan14",1446
"2NDCHRIST1967",1249
"mikehatesevil",1228
"SarishkaSingh",1203
"klaasvaak1533",1092
"realmirokliment",1083
"TruVoice30",821
"Franktmcveety",646
"ofarther",642
"littleshasta",639
"PuffnPuffin",616
"tweet4upatriots",613
"alllibertynews",612
"Zelidasquare",602
"EntheosShines",593
"smartvalueblog",592
"RadicalRW",586
"monica_barona",541
"Ralfoo7",537
"creminsmom",530
"edgecrusher23",526
"Private34349909",510
"tonywibowo12",505
"Ohboyboy22",504
"CUBASIKASTRONO",474
"cj_stout_",460
"TonyMontana7002",460
"EvelynizMe",458
"Sohail_Calgary",439
"007harvey",434
"rejialex7",433
"HambySr",433
"dawahbyicode",426
"Dragonsnestling",425
"ger2591",424
"ReTweetUrPost",422
"GypsyRoseKnows",419
"Ursula007007",418
"Monitor_sur",415
"WalterHorsting",414
"MaryPatriotNews",405
"riwired",399
"Eyes_of_justice",393
"babernoori",392
"AgendaOfEvil",391
"babysgramma",383
"tomwoods55",382
"notiven",379
"Elena07617349",377
"TXIconoclast",376
"J0NAH008",375
"charjoe2000",374
"michael_house9",373
"ImmoralReport",370
"StopStopHillary",361
"ReciteNews",360
"LyndaE222",359
"jcpeanut2345",358
"RobertCLemke",352
"rgenci57",352
"DebAlwaystrump",352
"CureSMI",350
"Surfingranny4DT",347
"1stConsumer",345
"collectdollsale",342
"MariOlsdatter",342
"SmartSanta",337
"KazmierskiR",333
"SusanIverach",331
"thebestcloser",331
"bbusa617",331
"BetteGaeDart",330
"SeekerTrump",329
"liltilgerlil",327
"MousseauJim",327
"USAncestors1636",326
"erockd33",325
"glennwa1",324
"PresidentDJT_Sr",322
"DRB300",321
"1776FREEDOMNOW",316
"US_Army_Vet",314
"F22Ross",310
"tlsg99",309
"SharNeal",309
"1776_Pro2A",308
"Dontvoteliberal",307
"orach24463_cj",307
"DavidRice26",306
"FconsulS",305
"SkippyManuel",303
"aerdt",302
"paramadina",302
"Leo4Trump",301
"RebeccaFaussett",301
"ramseyturbo",301
"DanavaSur",301
"chavezglen1755",299
"DonAgainstislam",298
"RayGibbsMairII",298
"MamaMadisons",297
"ntvnyr173",295
"_breitbot_",293
"FXdestination",291
"Natire2u",289
"Godndguns",289
"sid_greatest",289
"miri5310",289
"AnitaBl89545830",288
"aebkab",287
"LatAmFr",285
"ginah89121",284
"hale4jesus",284
"RealDutchRoots",284
"LanceSilver1",283
"bistawros",283
"classygal21",279
"amperezlbwa",278
"Purrpatrol",278
"Rparisee",277
"KamalShaqi",277
"tvogvo",276
"American1765",275
"PamPauline1",273
"Banks_Todd",272
"RealMuckmaker",271
"HenryRops1",270
"nutjob",269
"BWSchank",268
"InAbsentia9",267
"CarolHusband",267
"gamma337",266
"4est2J",265
"PrincessBibiRF_",265
"MyPlace4U",265
"HasamukhKeshod",263
"PastInMO",263
"LorenceHud",263
"elvisinoregon",262
"LyleKlich",260
"TheMeemStreams",260
"sharmoota516",259
"freedomfightsuk",257
"Guns4Trump",257
"RadicalGrambo",256
"Polar_Bear_West",256
"TheLiePolitic",256
"DesiMoh",253
"4Freedom4ever",253
"MelinaCopper",252
"woitekj",252
