"fromuser","count"
"CHRIST_UFO1967",3240
"LiveEUDebate",885
"jciamcur1",391
"SarishkaSingh",322
"TonyMontana7002",319
"GlennMcmillan14",290
"mikehatesevil",278
"klaasvaak1533",250
"Elena07617349",249
"Godndguns",241
"smartvalueblog",237
"Tad_mars",229
"maidoforleans__",228
"b2burns",228
"tweet4upatriots",213
"tonywibowo12",199
"miqdad_albarra",197
"cj_stout_",192
"feru012",181
"F22Ross",177
"rejialex7",175
"Ohboyboy22",174
"007harvey",168
"rgenci57",163
"EntheosShines",159
"888Scott",154
"lblink949",154
"nizmycuba",154
"MarcusDelCactus",151
"Non_MSM_News",151
"childoflight4",148
"DonAgainstislam",144
"sahilulu992093",142
"bbusa617",141
"FootballKig",139
"DechertWilliam",138
"Sohail_Calgary",135
"lajmerim_miqeso",130
"SkippyManuel",130
"Eyes_of_justice",129
"DivineDreams108",128
"DRB300",128
"RadicalRW",127
"UnCiudadanoSP",126
"ComingUpTheHill",125
"babernoori",121
"Lilis1261",120
"JLaihICCalHD8YW",119
"mickeytidewater",118
"WeMinister",118
"Rparisee",117
"Margi1959",116
"AzDeplorable",115
"Truth_Tellerzz",115
"SalwaSamra",114
"bnislm",114
"danhatesevil4",114
"AgendaOfEvil",113
"Andromodid",113
"riwired",111
"Private34349909",110
"TPujanarto",109
"WahhabiCC",108
"Tj1701a",108
"ofarther",107
"alllibertynews",107
"MariOlsdatter",106
"Franktmcveety",106
"moneybunnyalice",105
"J0NAH008",105
"BlastsFr0mPast",105
"HambySr",105
"TIGREDEESPANA",104
"SmartSanta",102
"VernonCrawfor13",101
"DisDemsDaily",101
"Mr_QTad",100
"WalterHorsting",98
"HinduRajyam",97
"gamma337",96
"gretel_andersen",96
"SeekerTrump",94
"EVACHRISTIAN30",93
"babysgramma",93
"Ursula007007",92
"MikkiL",92
"neptuno30",92
"KamalShaqi",92
"TrumptheB",91
"ju72047009",90
"ZekiBashar",90
"NederlandsGrond",90
"neilca4",90
"mavros351",89
"SPK72x",89
"MousseauJim",87
"aziaone1",87
"ProudInfidel321",87
"SoStarMusic",87
"rachaelmontague",86
"katestratton3",86
"monica_barona",86
"CampDuOUI2018",86
"FLUYTKETEL",85
"kennywallstreet",85
"SusanIverach",85
"US_Army_Vet",84
"dtfp2016",84
"JerryFande",83
"alamgirizvi",83
"TeamTrumpUSA",82
"Chinons34527101",82
"LanceSilver1",82
"MamaMadisons",81
"dawahbyicode",80
"mjgranger1",80
"Scipio236bc",80
"notiven",80
"TrueIslamUSA",80
"MrFutbol",79
"CounterPolitics",79
"DogLovers4Trump",79
"StopStopHillary",79
"emraanmughal",79
"roomdesign3",78
"catherigseton",78
"Sharing__Peace",78
"TruVoice30",78
"WTPatty",78
"Dragonsnestling",77
"inabster",77
"sudischuricht",77
"PuffnPuffin",76
"charjoe2000",76
"Purrpatrol",76
"bangyupi_006",76
"esam2009ss",76
"JVER1",76
"WWICSReviews",75
"Natire2u",75
"kruisdrop",75
"TrumpReady",74
"LorenceHud",74
"Johndm1952",73
"LizatalbelJones",73
"ibngibril",72
"sparkyNadine",72
"VA4DJT",72
"bankatronic1",71
"Guns4Trump",71
"muslimhappy22",70
"LibbyRafferty",70
"CAWPBT",70
"jurniscom",70
"beulahcrusoe",70
"ANDRE__OCTA",69
"bajigurceleng",69
"abdul_wakeel_11",68
"LatAmFr",68
"6549lmartin",68
"syqau",68
"paramadina",68
"USApatriot4all",68
"psycho4ensics1",67
"w0tn0t",67
"izinkvf",67
"realmirokliment",67
"AHLINYA_NERAKA",67
"refoman50",67
"1776_Pro2A",67
"brigethemidget",67
"timomanullang",67
"PcExtremist",66
"DagnyRed",66
"Melissamee3",66
"script_lady",65
"JohnMor93323884",65
"Cowboy201274",65
"DanaBoos3",65
"alitbertos",65
"mailparam",64
"Skepopotamus",64
"morabitolee6",64
"iamjenwillett",64
"BasimaFaysal",63
"ImmoralReport",63
"creminsmom",62
"abdrrahmanhdr",62
"BolangDriver",62
"harmlesstree2",62
"truth_spiral",62
"acamara0728",62
"NetworksManager",62
"Mo_An2016",62
"MariannBenway",62
"AdityaNair20",61
"MissyJoM",61
"AlwayanAmerican",61
"marjies1949",61
"ChefMueller2",61
"RayGibbsMairII",61
"ryanbreheny4",61
"Muhamma37029013",60
"sharing_mercy",60
"mjhous1947",60
"shekharmani",60
"mohmadabrhem777",60
"Zelidasquare",60
"Nederbloed",60
"glennwa1",60
"naniof_two",59
"HQ108",59
"debra_bonanno",59
"SiddiqueSaimeen",59
"teguh_har",59
"parlindsinurat",59
"tomcoates",59
"Feduporiginal",58
"lancastrian14",58
"AlamMohammed7",58
"Terry24681865",58
"windwens",58
"TreatSMI",58
"VigilPatriot",58
"RhondaS75500655",58
"Joliver77777",57
"sassysassyred",57
"HotNostrilsrFun",57
"rockynickydog",57
"IronmanL1",57
"NvrEvrHillary",57
"jimmydolittle1",57
"nilamerah1",57
"crankyallAnimal",57
"speedingisfun",57
"kenfriend55",57
"classygal21",57
"_breitbot_",57
"nancy73gg",56
"drofdem",56
"nanr18",56
"JWeismonger",56
"paddo_ron",56
"AnnKirsch1",56
"LyleKlich",56
"maucrews",55
"SP72X",55
"narnie4",55
"1991_ethan",55
"Monitor_sur",55
"Huqqim",55
"rickbkylex",55
"Gas8128",55
"PaulWaldmiller",55
"Janie_St_K",54
"PeteS77252077",54
"Evangelic4Trump",54
"RadicalGrambo",54
"Inquirer27I6",54
"Lupuz0503",54
"AbergeracBerger",54
"themadsloth",54
"ROKY_ZART",54
"LWengCM",54
"ShireenQudosi",54
"Cowboys4Trump",54
"LyndaE222",54
"AMDWaters",54
"Banks_Todd",54
"jonnydangerous7",53
"sue51684",53
"iLikePropaganda",53
"banditville2014",53
"TXIconoclast",53
"TheCubicle78",53
"naamah__",53
"Kazzjud",53
"MN4_Trump",53
"dan11thhour",53
"PatreciaRogers",53
"Larryputt",53
"Patriot_Girl_TX",53
"PeacefulChrist",53
"pmclauth",53
"DianaBialkowski",52
"palavrossavrvs",52
"kc135tech",52
"NewTemplar77",52
"Elimelech_Ring",52
"oklegacy",52
"LisaSmi30580467",52
"zoombouse",52
"sn0wba111",52
"willowhalegreen",52
"Chirpinagin",52
"wmleemert",52
"2braptuedbyJC77",52
"MaryAviles72",52
"JacumbaGirl",52
"MarthaVineyard4",52
"2Alpha",52
"MBOKSR_MAGA",52
"hansikel",52
"AifredoZibelli",52
"akawhit1",52
"Manitobagal",51
"jazz1294u",51
"sunneversets100",51
"Jim_Peoples_",51
"BuchmanCraig",51
"HuwGruffydd",51
"tlsg99",51
"Raz581",51
"buberzionist",51
"rickkenig",51
"AMTrump4PRES",51
"onlytruthtweet",51
"CannonballRoll",51
"PerSHansen26",51
"BigL_sGarage",51
"TrussElise",51
"ConstantinCI",51
"MelanieEli2015",50
"SurveysMedia",50
"MimiJolie57",50
"ben_watching",50
"Ahoker_Insaf",50
"TeamTrumpTeX",50
"jerrymikestorie",50
"Chaeruddin_B",50
"islamlie2",50
"TheeBigAL",50
"Zeepertje",50
"bluehand007",50
"trump2016fan",50
"madsal_59",50
"USVeteran2",50
"wolverines_dad",50
"vnuek",50
"amentilone",49
"WhiteJacketPink",49
"LincolnLA1",49
"Worldmuslimnews",49
"ben41080",49
"NaomiWalton11",49
"DesignerDeb3",49
"mees_c",49
"toranaga3000",49
"Rusydi_Waskita",49
"dave31_sam",49
"Rhonda9080",49
"stigmacher1",49
"rockysrm77",49
"Orthodoxia7",49
"accident",49
"ntvnyr173",49
"jcpeanut2345",49
"firstmuslim",49
"Immigration_Top",49
"GaetaSusan",49
"FOXLADY9",49
"HillaryNo1sPres",49
"WaerdtC",48
"Ir0ne7NO_KKN",48
"Trues244",48
"finite_planet",48
"melvict",48
"jeep_sifu",48
"meena7099",48
"HAhmadCharlesS",48
"elfizal",48
"ggentlemanirish",48
"subtel1",48
"eliya_mkom",48
"thomasulmers",48
"conelmazo_dando",48
"anti_conversion",48
"Brendag38323989",48
"Malouiner",47
"DebraMMason1",47
"NatBornCit",47
"chrizzy100",47
"veritaz",47
"stucampbell69",47
"WheatSuzanne",47
"bukharishah",47
"oinc2islam",47
"sukatanyaj",47
"politically_cor",47
"BenVitale",47
"roepme",47
"thelawanon",47
"ro_iain",47
"CarolHusband",47
"RougeReporter",47
"BlgaethGaeth",47
"INDRIDCOLD16",47
"CathyTo47590555",47
"FaithFlaherty3",47
"ConfessionsExMu",47
"HorseShort",47
"goygentile",47
"IsaaMobile1",47
"JL02048628",47
"SeekerofTruth0",46
"forex_signal",46
"Ra_Ria_Rana",46
"hgberry",46
"orach24463_cj",46
"erotao",46
"MiceeMouse",46
"welchclw9494",46
"ElContador2000",46
"wolfgangeric3",46
"CinderellaMan36",46
"DebsTalbot2",46
"bhamfascias",46
"drEmanuelJewish",46
"suzost",46
"encore_fred",46
"TeamTrumpAZ",46
"thelegacy09",46
"MasTBP_",45
"KyrtianKain",45
"mening66",45
"suprsilentdave",45
"muhammad19ahmad",45
"lakhilakhi5",45
"mandelawasndoos",45
"TheInfidelAnna",45
"66ssur",45
"Carry_a_40",45
"SajaPaulus",45
"stormestone",45
"sheilafla345",45
"AshleyWarrior",45
"RebeccaFaussett",45
"nneusj",45
"wakilgubernurKW",45
"ztakso",45
"ub2bad2",45
"pak_afif",44
"_Unionistparty",44
"PrTimF",44
"usaforyoubruv",44
"nikkitur",44
"terper9",44
"mettamoreandry",44
"AZ_Susan",44
"MJW1924",44
"thebestcloser",44
"jacobscarlene1",44
"justicehealth",44
"SenateMh",44
"CrusaderForce",44
"realmojesse5372",44
"KuffarAkbar1",44
"RaniaPunk",44
"doccigar",44
"KundanDeshmukh",44
"dsshep1959",44
"karen58Romans",44
"Ed_Demolay",44
"LVNancy",44
"Constit69032537",44
"RonRena",43
"lovestheworld3",43
"SharonMcCutchan",43
"chris63414391",43
"musejamie",43
"lsosis",43
"MarcheurAthee",43
"sstuart2016",43
"tyrelle123",43
"Amazigh____",43
"NoreenR1",43
"tadagreek",43
"OdyiusJacare",43
"dedy_steven80",43
"pt_santy2",43
"StevenDurack",43
"RajeshKumar_34",43
"4est2J",43
"HalfFull0",43
"ajojuki",43
"1_Vagabond",43
"DianeShamlin",42
"ger2519",42
"Thund3rStruckk",42
"JoeJackson999",42
"Katmcbeez",42
"FieldRoamer",42
"TNasionalis",42
"JoPorsalubre",42
"carou68",42
"Gumball55668882",42
"ConservativeGM",42
"isiahfortillo",42
"tvogvo",42
"RosaleeAdams",42
"Truthful_Wolf",42
"RosalesRosina",42
"moongopie",42
"ScribbledPages1",42
"PapaSaetan",42
"Norman_Outdoors",42
"PurworOjek",42
"PennyHicks13",42
"NewportLost",42
"SeeUrPoint16",41
"PonteVedraMan",41
"RizqiPulsa",41
"NoHostagesTaken",41
"YCH7168",41
"DionysusAres",41
"HasamukhKeshod",41
"ChuksBen12",41
"hrblock_21",41
"DeborahOchoa07",41
"hindustanse",41
"cajunairess",41
"meNabster",41
"KLSouth",41
"MikeHuntIsDirty",41
"CAPTDSPAWN5",41
"maz_doels",41
"just_vish2",41
"marylene58",41
"CathieMarie2014",41
"larb0rd",41
"BackOnTrackUSA",41
"Lucan07",41
"Anglojew",41
"madinatoure",41
"barracudawiep",41
"littlerottas",41
"LJPJoanna",41
"MavsPits",40
"suaviter9",40
"MikeRobbinsUSA",40
"kangsemproel",40
"Morristhecat79",40
"Sue36650435",40
"truth_vs_lies07",40
"Luke4Tech",40
"weltec2",40
"ssrimany",40
"xietakyu",40
"Babs_cat33",40
"triwul82",40
"svagdis",40
"yusakida",40
"batla665",40
"sdalas73",40
"tiyo_gntr",40
"RitaLeach9",40
"blazinbling91",40
"scottt1984",40
"chikulawayoo",40
"OrdinaryEric",40
"ImageMukhtar",40
"freedomfightsuk",40
"Julie4Trump",40
"FundsforSyria",40
"IsidorMeyer1",40
"hale4jesus",40
"JMesarch",40
"65ishot",40
"Afzalsaffron",40
"aebkab",40
"49f8f38790164c4",40
"60sReno",40
"kabalissima",39
"incerebro",39
"BizNetSC",39
"aaa111333zzz",39
"LyndaAtchison",39
"johnnybegood757",39
"BostonForTrump",39
"1MenujuDamai",39
"SunilKumarAus",39
"Josh4Mo",39
"DGLL10",39
"guycrete",39
"TarekFatah",39
"islamikazi",39
"donavan_antony",39
"JJJJPI4444",39
"so_hok_kiplie",39
"Remember_1096AD",39
"DrewEdgar_CB",39
"R_DzhieQrou",39
"angelmaximilan",39
"rjber15",39
"ericcvandiver",39
"mapduliand",39
"ArmenianSurname",39
"Mom2theCorps",39
"EddieQueener",39
"vpenley",39
"arekgubeng2",39
"yceek",39
"onyematomorrow2",39
"nwokolo_leo",39
"prtyof10",39
"OnceASheeple",39
"DannyDPurb",38
"onewonderfulgal",38
"ammcgloo",38
"proust410",38
"DefenderMikhail",38
"PatrickArnold77",38
"avinashk1975",38
"njpcnjpc",38
"DnellStephen",38
"RAJ_KUMAR_VERMA",38
"BarryLowdnes",38
"omuluivudu",38
"csayegh35",38
"MunsingLaw",38
"CaptainNemo3000",38
"nanci_pray2jc",38
"DanielPilotte",38
"fubaglady",38
"ceruiti",38
"jobbers7",38
"den2114",38
"AlfredKok1",38
"KathyTu57558497",38
"AJhun78",38
"tabanakelwanze",38
"rodeorosary",38
"Lordozz",38
"SeeUrPoint14",38
"TheGreatFeather",38
"TrumpLiberals",38
"kbari12",38
"Wentira2Wentira",38
"whitewolf8214",38
"UKTodayTopNews",38
"yakyennej",38
"RednaxalA",37
"workbench59",37
"SampleX",37
"tyrannywatch",37
"HMachaggis",37
"zaghloul_maha",37
"AHMDABDALLAH4",37
"qshabbirahmed92",37
"IfebudeBuchi",37
"newhorizons777",37
"4Freedom4ever",37
"railgirl1952",37
"Huggiesll",37
"maspiyungan",37
"GYFHAS",37
"mikelallen6",37
"ISeeUrPoint23",37
"mbelhams",37
"Gemacan70",37
"mordelba",37
"heathrodgirs",37
"smokesangel",37
"herolvl7",37
"Koxinga8",37
"gordon_harwood",37
"TammieW76139285",37
"LucMatte9",37
"tongzhi96",37
"ChuckRavin",37
"thecarnage07",37
"buongiorno9",37
"TheDestro123",37
"BEzissi",37
"Amyloukingery",37
"CelebrateTheWin",37
"baksh77",37
"ChrisBragdon",37
"BeachDreamin291",37
"bistawros",37
"DeplorableJus",37
"Davidroyle13",37
"DesiMoh",37
"EggRetweet",37
"eksa_raztamaniz",37
"DadangSajati",37
"erg010",37
"DulcimerGreenmn",37
"mrsfshaikh",36
"Si_Jose",36
"marsha9753",36
"DiksMeks",36
