"fromuser","count"
"CHRIST_UFO1967",1334
"LiveEUDebate",300
"TonyMontana7002",262
"SarishkaSingh",246
"b2burns",227
"feru012",176
"nizmycuba",153
"maidoforleans__",129
"sahilulu992093",126
"Godndguns",119
"jciamcur1",119
"DivineDreams108",110
"FootballKig",101
"mikehatesevil",99
"tweet4upatriots",99
"tonywibowo12",98
"AzDeplorable",95
"EntheosShines",93
"GlennMcmillan14",91
"Eyes_of_justice",89
"Non_MSM_News",87
"SkippyManuel",85
"ZekiBashar",83
"Ohboyboy22",81
"DRB300",80
"CounterPolitics",79
"SPK72x",78
"kennywallstreet",78
"catherigseton",78
"klaasvaak1533",74
"Tad_mars",74
"Lilis1261",72
"Sharing__Peace",72
"rgenci57",72
"smartvalueblog",71
"Truth_Tellerzz",69
"neptuno30",69
"DechertWilliam",67
"TrueIslamUSA",67
"Elena07617349",66
"J0NAH008",66
"Andromodid",66
"ofarther",66
"ComingUpTheHill",65
"abdul_wakeel_11",65
"mickeytidewater",65
"Skepopotamus",64
"bankatronic1",64
"rejialex7",63
"script_lady",62
"DonAgainstislam",62
"charjoe2000",61
"lajmerim_miqeso",60
"moneybunnyalice",59
"MrFutbol",59
"mjgranger1",58
"RhondaS75500655",58
"TreatSMI",58
"Purrpatrol",58
"sudischuricht",57
"_breitbot_",57
"JLaihICCalHD8YW",56
"Private34349909",56
"Joliver77777",56
"babernoori",56
"SalwaSamra",56
"aziaone1",55
"lblink949",54
"creminsmom",54
"tomcoates",54
"Margi1959",53
"AgendaOfEvil",53
"riwired",52
"NederlandsGrond",52
"AifredoZibelli",52
"Nederbloed",52
"parlindsinurat",52
"SeekerTrump",51
"notiven",51
"Franktmcveety",51
"RadicalRW",51
"onlytruthtweet",51
"Sohail_Calgary",50
"NvrEvrHillary",50
"SurveysMedia",50
"USVeteran2",50
"mees_c",49
"childoflight4",49
"MamaMadisons",49
"rachaelmontague",49
"MarthaVineyard4",48
"1776_Pro2A",48
"Tj1701a",48
"akawhit1",48
"TrumpReady",48
"Trues244",48
"NaomiWalton11",47
"WahhabiCC",47
"007harvey",47
"WalterHorsting",47
"goygentile",47
"VernonCrawfor13",46
"HotNostrilsrFun",46
"DagnyRed",46
"inabster",46
"Orthodoxia7",46
"gretel_andersen",46
"PaulWaldmiller",46
"JerryFande",44
"KundanDeshmukh",44
"Rparisee",44
"LyndaE222",44
"DisDemsDaily",44
"miqdad_albarra",44
"Dragonsnestling",44
"bbusa617",43
"DogLovers4Trump",43
"Carry_a_40",43
"SoStarMusic",43
"Chinons34527101",43
"RonRena",43
"tadagreek",43
"cj_stout_",42
"Kazzjud",42
"RayGibbsMairII",42
"babysgramma",42
"PuffnPuffin",42
"BolangDriver",42
"Norman_Outdoors",42
"ImmoralReport",41
"beulahcrusoe",41
"Lupuz0503",41
"monica_barona",41
"MissyJoM",41
"6549lmartin",41
"larb0rd",41
"MousseauJim",41
"alllibertynews",41
"just_vish2",40
"morabitolee6",40
"debra_bonanno",40
"batla665",40
"TrussElise",40
"RaniaPunk",40
"WhiteJacketPink",40
"PapaSaetan",40
"Ursula007007",40
"PeteS77252077",40
"_Unionistparty",40
"TheInfidelAnna",40
"TruVoice30",40
"Scipio236bc",40
"madinatoure",40
"nanr18",39
"glennwa1",39
"Patriot_Girl_TX",39
"gamma337",39
"F22Ross",39
"Guns4Trump",39
"classygal21",39
"MarcusDelCactus",39
"DGLL10",39
"emraanmughal",39
"GaetaSusan",38
"freedomfightsuk",38
"StopStopHillary",38
"csayegh35",38
"ben41080",38
"omuluivudu",38
"ammcgloo",38
"PatreciaRogers",38
"nneusj",38
"DebraMMason1",37
"acamara0728",37
"Feduporiginal",37
"PennyHicks13",37
"drofdem",37
"carou68",37
"JohnMor93323884",37
"US_Army_Vet",37
"Gumball55668882",37
"sn0wba111",37
"NoHostagesTaken",36
"LisaSmi30580467",36
"banditville2014",36
"LJPJoanna",36
"naniof_two",36
"scottt1984",36
"bdevil89",36
"sunneversets100",36
"no_more_wypipo",36
"2braptuedbyJC77",36
"ProphetKejriwaI",36
"prtyof10",36
"LizatalbelJones",35
"AbergeracBerger",35
"lsosis",35
"R98250729",35
"lancastrian14",35
"66ssur",35
"MikkiL",35
"Raz581",35
"LatAmFr",35
"aebkab",35
"MasTBP_",35
"refoman50",35
"ImposterBuster",35
"bnislm",35
"Jim_Peoples_",35
"Monitor_sur",35
"CormieredcClare",35
"thecarnage07",35
"drkateyun",35
"RougeReporter",34
"DesignerDeb3",34
"Singularity2039",34
"dtfp2016",34
"sstuart2016",34
"dawahbyicode",34
"ScribbledPages1",34
"Cu6one",34
"stigmacher1",34
"HuwGruffydd",34
"KaiWhiting",34
"harmlesstree2",34
"melvict",34
"bukharishah",34
"RajeshKumar_34",34
"ceruiti",34
"paddo_ron",34
"Afzalsaffron",34
"pak_afif",34
"ANDRE__OCTA",34
"KPuckettPE",33
"nwokolo_leo",33
"Lisa9Liz",33
"888Scott",33
"Messiesta1",33
"CannonballRoll",33
"LorenceHud",33
"chrizzy100",33
"Mo_An2016",33
"RRRDontTreadOn",33
"ConfessionsExMu",33
"RosalesRosina",33
"dsshep1959",33
"Scully64",33
"wolfgangeric3",33
"jeep_sifu",33
"Guerra4Truth",33
"HinduRajyam",33
"wmleemert",32
"iamjenwillett",32
"UKTodayTopNews",32
"jacobscarlene1",32
"USApatriot4all",32
