"fromuser","count"
"AmyMek",72095
"PrisonPlanet",71750
"thehill",64651
"ACLU",59160
"FoxNews",50518
"CNN",45853
"realDonaldTrump",39935
"SenSanders",39777
"ajplus",38416
"nytimes",35729
"ShaunKing",34531
"V_of_Europe",33563
"USARedOrchestra",33049
"MMFlint",33034
"AP",33020
"miel",32705
"ABC",31401
"GeorgeTakei",27440
"AnnCoulter",25563
"SenWarren",23088
"TEN_GOP",22960
"LOLGOP",22729
"KeithOlbermann",22419
"CleverTitleTK",22104
"MosDebt",20146
"JimAxelrod",19515
"semisexuaI",19493
"Evan_McMullin",19405
"JoyAnnReid",19178
"DavidJo52951945",19013
"washingtonpost",18947
"KamalaHarris",18039
"LaszloBock2718",17627
"RonHogan",17574
"TarekFatah",17504
"Pharrell",17097
"TRobinsonNewEra",16860
"SwedeninUSA",16710
"LoserKing_",16032
"PamelaGeller",15702
"Lrihendry",15542
"We_R_TheMedia",15435
"netanyahu",14918
"BernieSanders",14608
"_Makada_",14307
"JuddLegum",14231
"jonfavs",14088
"BuzzFeedNews",13985
"kurteichenwald",13831
"FreeLaddin",13606
"bfraser747",13262
"BraddJaffy",13208
"pmclauth",13162
"asamjulian",13133
"Reuters",12952
"ddale8",12924
"madeleine",12680
"Independent",12454
"LibyaLiberty",12452
"WajahatAli",12194
"joosonrise",12053
"VanJones68",11914
"trump2016fan",11675
"kirkfranklin",11560
"billyeichner",11354
"AltStateDpt",11275
"MuslimIQ",11162
"Impeach_D_Trump",11082
"SandraTXAS",11028
"RightWingAngel",10828
"tribelaw",10712
"LiterateLiberal",10617
"IngrahamAngle",10566
"amiraminiMD",10557
"RMac18",10530
"jaketapper",10486
"lsarsour",10440
"ushieplstop",10437
"ianbremmer",10200
"Nigel_Farage",10195
"jeremycorbyn",9960
"foxandfriends",9860
"NPR",9748
"BlvckConscious",9737
"TheDemocrats",9711
"lunicornn",9710
"dandrezner",9632
"islamlie2",9545
"RealJamesWoods",9498
"ConstanceQueen8",9463
"Sia",9340
"LouDobbs",9300
"spectatorindex",9221
"michaelkeyes",9189
"voxdotcom",9160
"JackSmithIV",9055
"HuffingtonPost",8936
"kumailn",8895
"zlando",8848
"chrislhayes",8747
"HillaryClinton",8713
"heyamine",8700
"NathanZed",8632
"ananavarro",8597
"ABCPolitics",8577
"MrAyeDee",8547
"womensmarch",8535
"nytopinion",8308
"JeremyLRedmon",8265
"politico",8264
"SheriffClarke",8259
"IsraelSpeaker",8230
"TUSK81",8043
"elonmusk",7997
"mitchellvii",7854
"Variety",7823
"kylegriffin1",7808
"chelseahandler",7732
"KhaledBeydoun",7659
"Ed_Miliband",7627
"ericgarland",7561
"MohamedGhilan",7473
"derrekord",7472
"JamesMartinSJ",7374
"Slate",7349
"sarahkendzior",7317
"mattyglesias",7244
"RealJack",7109
"ggreenwald",7022
"The_Trump_Train",6990
"TheAnonnMessage",6955
"touchmybobby",6889
"ezraklein",6843
"mattdpearce",6837
"oxminaox",6834
"DrBilalPhilips",6788
"troyesivan",6781
"ezlusztig",6730
"AJEnglish",6696
"glumkid",6624
"ScottPresler",6603
"DennyJA_WORLD",6564
"AriMelber",6531
"CBSNews",6458
"latimes",6402
"StefanMolyneux",6396
"nia4_trump",6381
"saladinahmed",6364
"NBCNews",6350
"andyburnhammp",6295
"brianklaas",6243
"Breaking911",6170
"BBCBreaking",6150
"IMPL0RABLE",6101
"AMike4761",6098
"MarkRuffalo",5993
"AgendaOfEvil",5952
"DailyCaller",5950
"alaskantexanQCT",5950
"Pamela_Moore13",5898
"Fusion",5888
"Ashton5SOS",5886
"TheEllenShow",5807
"splcenter",5748
"Rosie",5703
"SavetheChildren",5694
"JohnFromCranber",5690
"LVNancy",5591
"shurufu",5563
"LindaSuhler",5554
"seanmdav",5513
"UstadTengku",5503
"ericgeller",5488
"SikhProf",5475
"KGBVeteran",5475
"jihadwatchRS",5456
"TeaPainUSA",5456
"ChrisMurphyCT",5390
"FaktaAgama",5387
"sahaL_AS",5385
"palestyria",5373
"CloydRivers",5365
"DeptofDefense",5347
"TIME",5327
"monaeltahawy",5321
"MattMcGorry",5318
"ValaAfshar",5279
"cnni",5235
"rosiejpt",5207
"DavidCornDC",5172
"OmanReagan",5167
"StephLauren",5166
"ThePatriot143",5147
"WalshFreedom",5145
"thinkprogress",5121
"peterdaou",5113
"BuzzFeed",5105
"hrkbenowen",5105
"NkirukaNistoran",5102
"EntheosShines",5057
"USATODAY",5001
"billmaher",4991
"mattmfm",4988
"SouthLoneStar",4987
"immigrant4trump",4974
"DrMartyFox",4922
"WaladShami",4892
"DVATW",4889
"Veteran4Trump",4846
"LawyerRogelio",4842
"cristinalaila1",4813
"JPY_Kurdish",4808
"WSJ",4796
"Zulfadhli_787",4780
"Cernovich",4772
"jk_rowling",4739
"rycrist",4729
"CarmineZozzora",4695
"pspoole",4630
"AsYouNotWish",4622
"CNNPolitics",4617
"igorvolsky",4557
"NYGovCuomo",4537
"susanrkandel",4530
"BNONews",4520
"verge",4513
"mcspocky",4509
"ARnews1936",4494
"azizansari",4424
"people",4415
"brianefallon",4411
"maddow",4405
"DineshDSouza",4405
"jessica_goudeau",4385
"jimsciutto",4373
"RawStory",4340
"BostonGlobe",4318
"Koxinga8",4305
"FiveRights",4295
"michellemalkin",4275
"sean_spicier",4264
"cnnbrk",4255
"RefugeeWatcher",4243
"simon_schama",4240
"ignoremeNSA",4234
"JacquiSpence_",4233
"SopanDeb",4159
"samkumpe",4156
"LeakDump",4156
"dcexaminer",4149
"MarkHertling",4135
"Christiana1987",4131
"CNBC",4081
"embeedub",4067
"jackieaina",4062
"Mikel_Jollett",4061
"benjancewicz",4055
"KTHopkins",4047
"Samfr",4032
"theintercept",4015
"business",4013
"creepingsharia",4010
"BeauWillimon",3988
"Newsweek",3981
"frankgaffney",3962
"TheDailyShow",3954
"tufailelif",3951
"HuffPostPol",3936
"2ALAW",3934
"ANOMALY1",3934
"Kon__K",3932
"TomiLahren",3924
"JustinElliott",3924
"TerryMoran",3898
"Muslim_Bersatu1",3896
"ava",3867
"mic",3852
"NewssTrump",3847
"guardian",3845
"FAIRImmigration",3836
"operationgodiva",3828
"Susan_Hennessey",3812
"jessetyler",3808
"AltNatParkSer",3748
"Amaka_Ekwo",3735
"WangCecillia",3734
"umyazzie",3730
"OnlineMagazin",3710
"DeeJayAyy",3701
"MotherJones",3700
"StopStopHillary",3673
"SenSchumer",3665
"billboard",3655
"mohammadshaikh_",3645
"ChristiChat",3636
"LeahR77",3634
"SophiaBush",3605
"RealMuckmaker",3597
"MissLizzyNJ",3594
"rejialex7",3571
"republikaonline",3548
"Adel__Almalki",3547
"NormEisen",3543
"eemanabbasi",3542
"THR",3521
"RoguePOTUSStaff",3512
"NastyWoman20",3486
"JessieJaneDuff",3484
"RyanLizza",3462
"FedcourtJunkie",3459
"TheMarkRomano",3449
"American1765",3446
"WayneDupreeShow",3444
"aravosis",3443
"IssaRae",3439
"ezralevant",3437
"KING5Seattle",3427
"leahmcelrath",3421
"CoryBooker",3417
"Freakonsight",3404
"thetimes",3399
"HeyTammyBruce",3390
"Refugees",3385
"paulkrugman",3379
"wikileaks",3354
"timkaine",3352
"mishacollins",3326
"AJENews",3322
"Amy_Siskind",3320
"ByCommonConsent",3304
"destinyisurwcw",3303
"liamstack",3288
"AdamSerwer",3286
"AMTrump4PRES",3283
"vivelafra",3271
"imraansiddiqi",3268
"amyharvard_",3261
"SenJohnMcCain",3258
"dailykos",3255
"antoniodelotero",3251
"YasminYonis",3241
"NatashaBertrand",3236
"AP_Politics",3233
"NYDailyNews",3206
"Stevenwhirsch99",3201
"scrowder",3201
"20committee",3192
"MazMHussain",3191
"RichardWeaving",3185
"DRUDGE_REPORT",3179
"JuddApatow",3172
"larryelder",3172
"arjunsethi81",3166
"AnandWrites",3164
"maspiyuuu",3160
"Phil_Mattingly",3148
"RealLucasNeff",3142
"Alhamdhulillaah",3130
"sahouraxo",3115
"ChrisEvans",3112
"alwaystheself",3106
"shannonrwatts",3078
"mehdirhasan",3065
"AMDWaters",3055
"robreiner",3047
"TPM",3030
"jorgeramosnews",3024
"ICEgov",3023
"ParkerMolloy",3017
"steph93065",3016
"SenBookerOffice",3004
"democracynow",3001
"EricBoehlert",2997
"maggieNYT",2987
"NolteNC",2986
"carrieksada",2978
"ProPublica",2961
"ExMuslim_TV",2955
"AGOWA",2935
"RogueNASA",2932
"CondetWarrior",2910
"JBurtonXP",2909
"amjoyshow",2903
"CNNEE",2892
"GopAaron2",2879
"ChelseaClinton",2876
"Deanofcomedy",2870
"YoungDems4Trump",2866
"nickbilton",2852
"LaurenJauregui",2851
"michaelianblack",2842
"thedailybeast",2841
"PalmerReport",2817
"owillis",2814
"Phillipasoo",2808
"rafu007",2796
"NewYorker",2783
"Uber",2782
"Delo_Taylor",2781
"ColMorrisDavis",2777
"UNICEF",2770
"ReutersPolitics",2767
"ActualidadRT",2766
"MikePenceVP",2764
"OurRevolution",2763
"Gemacan70",2752
"juliaioffe",2740
"funder",2727
"fatalitiess",2723
"SteveRattner",2706
"zachtoombs",2695
"MaryEmilyOHara",2693
"chuckwoolery",2686
"thefader",2684
"NYCMayor",2674
"johngreen",2669
"RealAlexJones",2665
"BrittPettibone",2659
"benshapiro",2648
"zerohedge",2637
"UjamiiSingh",2621
"Corporatocrazy",2615
"mcuban",2613
"AlwaysActions",2606
"HeerJeet",2604
"Thomas1774Paine",2593
"BadIandsNPSFans",2589
"NetizenTofa",2581
"keithellison",2578
"greggutfeld",2575
"latinaafortrump",2572
"BanZakirNaik",2565
"deray",2541
"tedlieu",2537
"edgecrusher23",2531
"businessinsider",2524
"hrtablaze",2520
"hafidz_ary",2512
"activist360",2500
"Lawrence",2499
"maryedozie14",2499
"FoxBusiness",2496
"Freeyourmindkid",2496
"lhfang",2491
"PoliticalIslam",2486
"CounterJihadUS",2478
"imillhiser",2465
"NotAltWorld",2452
"danpfeiffer",2446
"NotJaredWyand",2445
"saul42",2444
"iamamuslimtoo",2436
"PGourevitch",2425
"horowitz39",2423
"vulture",2418
"Scott_Gilmore",2409
"GovMikeHuckabee",2406
"na_dirs",2404
"AzmatZahra",2399
"TheBeat_Boss",2397
"hstapanghosh",2390
"geertwilderspvv",2386
"cadlymack",2385
"wartapolitik",2377
"MichaelSkolnik",2377
"RichardGrenell",2373
"PeterBeinart",2371
"America_1st_",2370
"aerdt",2369
"repubmillennial",2368
"Nick_Offerman",2364
"BadIandsNPS",2359
"timothycsimons",2355
"SantapanMinda",2354
"spcedst",2347
"Law_Mana",2330
"Italians4Trump",2327
"RedNationRising",2325
"rabiasquared",2322
"daveweigel",2313
"tyleroakley",2306
"timmartinwhy",2305
"ShireenQudosi",2300
"BBCWorld",2297
"AnahaqImtruth",2286
"vdare",2273
"pattonoswalt",2272
"JamesFallows",2266
"BigStick2013",2264
"JudgeJeanine",2263
"ColumbiaLaw",2258
"MSNBC",2249
"CounterMoonbat",2245
"ChangFrick",2234
"AIIAmericanGirI",2226
"TimOBrien",2220
"AbdMalekHussin",2218
"mims",2215
"verdadesofenden",2215
"Bakari_Sellers",2211
"JohnFugelsang",2209
"BlissTabitha",2200
"TwitterMoments",2196
"TheRebelTV",2196
"IslamicTongue",2195
"TrueIndology",2194
"Ayaan",2184
"Complex",2177
"el_pais",2172
"ThisWeekABC",2167
"abrahamjoseph",2153
"mmpadellan",2148
"Democrat_4Trump",2147
"Fahrenthold",2144
"sarahjeong",2136
"eae18",2134
"MsBlaireWhite",2130
"DenaldJTrumpJr",2128
"bennydiego",2127
"Charles_Lister",2127
"CAIRNational",2126
"yusejahtera",2124
"TruthFeedNews",2117
"NILC_org",2109
"Zendaya",2100
"SonofLiberty357",2099
"gatewaypundit",2098
"ANDRE__OCTA",2087
"nycjim",2084
"zackwhittaker",2077
"TheGoodGodAbove",2067
"SenTedCruz",2066
"felixsiauw",2062
"Suthen_boy",2061
"ProteinShaykh",2055
"GartrellLinda",2052
"doamuslims",2052
"KieranSuckling",2050
"IndivisibleTeam",2046
"jimmydolittle1",2045
"aplusk",2033
"KenRoth",2032
"PeterTownsend7",2031
"GavinNewsom",2024
"ndtrt",2024
"GabbyBirkman",2018
"seungminkim",2015
"mediacrooks",2007
"woodruffbets",2002
"daisycallcway",2002
"MikeElChingon",2001
"CuntryCounselor",1993
"piersmorgan",1991
"Miami4Trump",1991
"sixofcrows",1989
"jojoseari",1982
"MarkDice",1981
"DailyMail",1978
"pettyblackgirI",1976
"RawanHoops",1971
"3lectric5heep",1970
"PaulBegala",1967
"SenBobCasey",1966
"davidaxelrod",1964
"RVAwonk",1961
"TheNBACentral",1945
"GovHowardDean",1944
"jbendery",1932
"samwhiteout",1928
"GrrrGraphics",1926
"MarkSimoneNY",1925
"ChrisBHaynes",1923
"anti_densus88",1919
"LaloDagach",1918
"NickKristof",1917
"EricSpracklen",1915
"NetworksManager",1915
"NBCNightlyNews",1915
"samsteinhp",1913
"CNBCnow",1906
"drudgeheadlines",1903
"Ulster_Crusader",1900
"PatDollard",1900
"TheBpDShow",1900
"surfermom77",1898
"realAngeloGomez",1895
"edatpost",1891
"terrymendozer",1889
"twlldun",1886
"US_Army_Vet",1886
"ShokryEldaly",1885
"TechCrunch",1885
"peddoc63",1883
"RepAdamSchiff",1877
"NewsHour",1876
"Taniel",1872
"JoshButler",1872
"RubinReport",1867
"mynamesdiana",1865
"Davewellwisher",1861
"CharlesMBlow",1859
"kiaspeaks",1856
"TheRoot",1853
"amadijuana",1846
"MattWalshBlog",1835
"TomFitton",1830
"TDennis17",1827
"StephenKing",1826
"jabdi",1826
"Darren32895836",1825
"RMConservative",1824
"PolitiFact",1824
"RichardTBurnett",1822
"SOMEXlCAN",1819
"BenjaminNorton",1817
"ALT_USCIS",1815
"SocialPowerOne1",1812
"trevortimm",1811
"rezaaslan",1811
"TimFullerton",1810
"Salon",1807
"JackAllTimeLow",1807
"Truth_Bombers",1806
"1942bs",1806
"sethmoulton",1804
"johnpavlovitz",1804
"justinjm1",1799
"TerorisSocmed",1794
"SavageNation",1792
"justinamash",1780
"SamHarrisOrg",1780
"MrTommyCampbell",1776
"SteveKornacki",1776
"bocavista2016",1775
"hrw",1774
"Khanoisseur",1767
"phil200269",1767
"Uncle_Jimbo",1765
"JayS2629",1762
"Blklivesmatter",1761
"AristeguiOnline",1758
"politicususa",1753
"Phil_Lewis_",1753
"gerardotc",1752
"MLP_officiel",1750
"TheLastRefuge2",1745
"US_Army_Vet2",1743
"EmilyGorcenski",1743
"rcallimachi",1740
"attn",1740
"mmfa",1737
"joshrogin",1736
"johncardillo",1735
"theonlyadult",1728
"heatherscope",1726
"docdhj",1723
"davidschneider",1722
"agebhard",1721
"davebernstein",1721
"xeni",1720
"GopAaron",1717
"ThePlumLineGS",1705
"BarbraStreisand",1700
"Varneyco",1697
"girlposts",1694
"mustapha_itani",1692
"nytimesworld",1679
"haaretzcom",1677
"CR",1677
"denvernight",1677
"JYSexton",1675
"missmarkie1205",1670
"JamilSmith",1664
"RodStryker",1663
"MiddleEastEye",1660
"mashable",1654
"EnriqueKrauze",1654
"Portosj81",1653
"ElizabethDrewOH",1651
"alfonslopeztena",1649
"JamesMelville",1649
"hh11h11",1649
"pnehlen",1646
"iJesseWilliams",1646
"ChooseToBFree",1645
"jjouvenal",1644
"DebAlwaystrump",1643
"SenFeinstein",1641
"JustinWolfers",1640
"teleSURtv",1638
"AllahGreatQuran",1633
"nycsouthpaw",1630
"Juliet777777",1622
"SiPeroNo1",1618
"RaheemKassam",1617
"sahilkapur",1613
"OwenJones84",1613
"lemondefr",1612
"baalter",1608
"AmericanMex067",1607
"jilevin",1606
"dylanohollands",1603
"eorden",1602
"nntaleb",1601
"SaIIyYates",1601
"CodeAud",1597
"NewtTrump",1596
"CBSLA",1588
"FunnyBrawls",1583
"yashar",1582
"ramzpaul",1578
"HaroldItz",1575
"USFreedomArmy",1567
"Marodriguez1971",1567
"samswey",1564
"weknowwhatsbest",1563
"AbdallahDjzr",1561
"VivaLaAmes",1561
"vicenews",1560
"stevesilberman",1559
"cjwerleman",1559
"nuyulhuda",1558
"SpecialKMB1969",1556
"edyong209",1555
"amnestyusa",1555
"barenakedislam",1554
"nycjayjay",1554
"TrumpSuperPAC",1553
"aishacs",1552
"andieiamwhoiam",1550
"mcgregor_ewan",1549
"JShahryar",1541
"Alyssa_Milano",1538
"ns1jb",1537
"gloomynews",1534
"UberFacts",1530
"matthaig1",1524
"_Swagtacular_",1523
"JackPosobiec",1523
"ActualEPAFacts",1521
"lindseywasson",1519
"NBA_Skits",1515
"fkajack",1514
"hankgreen",1513
"FT",1513
"TheAtlantic",1511
"OkKelly22",1508
"Miotroyo2parte",1504
"anneapplebaum",1501
"JonRiley7",1498
"speechboy71",1497
"kinni00",1497
"iyad_elbaghdadi",1496
"Stonekettle",1494
"Lexialex",1491
"Harlan",1488
"SirPatStew",1486
"DATcass_",1478
"kalpenn",1477
"KennethBaer",1476
"facepaulmrevere",1474
"GodfreyElfwick",1471
"nprpolitics",1471
"RT_com",1469
"JudicialWatch",1467
"MaajidNawaz",1467
"WesleyLowery",1466
"ClaraJeffery",1466
"posmetroinfo",1465
"MrJamesonNeat",1465
"true_pundit",1464
"keithboykin",1464
"MaketheRoadNY",1462
"TheEconomist",1462
"CensoredPatriot",1461
"Lvl62Charizard",1457
"rizmc",1457
"pmarsupia",1457
"JohnJHarwood",1457
"childoflight4",1454
"LisaBloom",1453
"neontaster",1448
"Missy_America",1448
