"tweet","min","count"
"RT : ...Senators should focus their energies on ISIS; illegal immigration and border security instead of always looking to… @realDonaldTrump","Fri Feb 03 00:34:02 CST 2017",16308
"RT : The joint statement of former presidential candidates John McCain & Lindsey Graham is wrong - they are sadly weak on i… @realDonaldTrump","Fri Feb 03 01:25:15 CST 2017",9391
"RT : Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out j… @realDonaldTrump","Fri Feb 24 00:13:35 CST 2017",7272
"RT : 'Immigration Ban Is One Of Trump's Most Popular Orders So Far' @realDonaldTrump","Fri Feb 10 00:10:04 CST 2017",6323
"RT : ':  let's have the policy speeches on immigration; economy;  foreign policy; and NATO! http… @realDonaldTrump @DiCristo13 @realDonaldTrump","Fri Feb 24 13:41:26 CST 2017",100
"RT : Statement on Preventing Muslim Immigration: @realDonaldTrump","Fri Feb 10 00:07:55 CST 2017",87
"RT : Thank you to respected columnist Katie Hopkins of Daily  for her  powerful writing on the U.K.'… @realDonaldTrump","Mon Feb 27 13:05:57 CST 2017",87
"RT : The immigration crisis is a horrible mess made worse by an incompetent president who doesn't have a clue. We need new… @realDonaldTrump","Fri Feb 17 03:22:37 CST 2017",68
"RT : ':  What a great night for the good guys. I'm worried about Obama using executive power to pas… @realDonaldTrump @Mitchwa @realDonaldTrump","Sat Jan 28 19:20:27 CST 2017",47
"RT : 's budget funds the 'Arab Spring' with $800B and the Muslim Brotherhood in Egypt $1.3B in military aid. He… @realDonaldTrump @BarackObama","Mon Feb 06 08:38:57 CST 2017",34
"RT : I highly recommend the just out book - THE FIELD OF FIGHT - by General Michael Flynn. How to defeat radical Islam. @realDonaldTrump","Fri Feb 17 05:18:29 CST 2017",24
"RT : The United Kingdom is trying hard to disguise their massive  Muslim problem. Everybody is wise to what is happening; v… @realDonaldTrump","Fri Jan 27 11:06:48 CST 2017",15
"RT : Those who believe in tight border security; stopping illegal immigration &  SMART trade deals w/other countries should… @realDonaldTrump","Fri Jan 06 14:21:46 CST 2017",14
"RT : Does Madonna know something we all don't about Barack? At a concert she said 'we have a black Muslim in the White Hous… @realDonaldTrump","Fri Jan 27 01:39:25 CST 2017",10
"RT : In my speech on protecting America I spoke about a temporary ban; which includes suspending immigration from nations t… @realDonaldTrump","Tue Feb 07 19:58:02 CST 2017",9
"RT : Thank you Ted. @realDonaldTrump","Thu Feb 09 00:37:35 CST 2017",7
"RT : ISIS is taking credit for the terrible stabbing attack at Ohio State University by a Somali refugee who should not hav… @realDonaldTrump","Fri Jan 20 12:21:13 CST 2017",7
"RT : 'Why Franklin Graham says Donald Trump is right about stopping Muslim immigration' @realDonaldTrump","Sun Jan 29 18:08:44 CST 2017",7
"RT : Will be on  @ 10pE - discussing various subjects including immigration-if elected; we will #BuildTheWa… @realDonaldTrump @FoxNews","Fri Jan 13 02:33:05 CST 2017",6
"RT : Thank you to  for the great review of the speech on immigration last night. Thank you also to the great… @realDonaldTrump @foxandfriends","Fri Feb 10 19:30:52 CST 2017",5
"RT : 'ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS; CARTELS & DRUG VIOLENCE NATIONWIDE'… @realDonaldTrump","Sun Feb 12 13:56:13 CST 2017",4
"RT : For all of those who want to ; boycott . They are weak on border security & stopping illeg… @realDonaldTrump @Macys","Thu Jan 05 15:11:24 CST 2017",4
"RT : It is amazing how often I am right; only to be criticized by the media. Illegal immigration; take the oil; build the w… @realDonaldTrump","Sat Jan 28 03:30:38 CST 2017",4
"RT : Paul Ryan should spend more time on balancing the budget; jobs and illegal immigration and not waste his time on fight… @realDonaldTrump","Fri Feb 03 22:04:19 CST 2017",3
"RT : Marco Rubio is a member of the Gang Of Eight or; very weak on stopping illegal immigration. Only changed when poll num… @realDonaldTrump","Thu Feb 09 13:58:34 CST 2017",3
"RT : The Republicans must face reality & create a strong & positive immigration policy--if not they will continue to lose e… @realDonaldTrump","Fri Jan 27 00:24:04 CST 2017",3
"RT : We MUST have strong borders and stop illegal immigration. Without that we do not have a country. Also; Mexico is killi… @realDonaldTrump","Wed Jan 25 13:54:54 CST 2017",3
"RT : Under Obama; Iran has taken over Iraq; Al Qaeda has taken over Libya; the Muslim Brotherhood now controls Egypt. Worst… @realDonaldTrump","Tue Feb 28 00:29:36 CST 2017",2
"RT : I will be making a major speech on ILLEGAL IMMIGRATION on Wednesday in the GREAT State of Arizona. Big crowds; looking… @realDonaldTrump","Fri Feb 10 11:53:31 CST 2017",2
"RT : From day one I said that I was going to build a great wall on the SOUTHERN BORDER; and much more. Stop illegal immigra… @realDonaldTrump","Wed Jan 25 12:56:54 CST 2017",2
"RT : We must suspend immigration from regions linked with terrorism until a proven vetting method is in place. @realDonaldTrump","Sat Jan 14 15:19:02 CST 2017",2
"RT : When you do your Christmas shopping remember how disloyal  was to the subject of illegal immigration. #BoycottMa… @realDonaldTrump @Macys","Sat Dec 24 09:38:39 CST 2016",2
"RT : 'CLINTON REFUGEE PLAN COULD BRING IN 620;000 REFUGEES IN FIRST TERM AT LIFETIME COST OF OVER $400 BILLION.' https://t.… @realDonaldTrump","Fri Feb 24 17:28:14 CST 2017",2
"RT : Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in… @realDonaldTrump","Mon Feb 20 15:47:20 CST 2017",2
"RT : Further proof that Gang of Eight member Marco Rubio is weak on illegal immigration is Paul Singer's; Mr. Amnesty; endo… @realDonaldTrump","Thu Feb 16 18:51:35 CST 2017",1
"RT : Today I am standing with patriots in Arizona for border security! Build a wall! Let's Make America Great Again! https:… @realDonaldTrump","Wed Jan 25 12:58:14 CST 2017",1
"RT : Be weak on immigration and ensure Democratic victory. @realDonaldTrump","Sun Jan 29 21:55:10 CST 2017",1
"RT  FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just bea… @realDonaldTrump","Mon Feb 20 09:37:35 CST 2017",1
"RT : Illegal immigration is a wrecking ball aimed at US taxpayers. Washington needs to get tough and fight for 'W… (cont) h… @realDonaldTrump","Wed Feb 15 21:02:24 CST 2017",1
"RT  The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just… @realDonaldTrump","Mon Feb 20 10:11:09 CST 2017",1
"RT : Muslim Brotherhood head of Egypt Morsi is already making demands on Obama before the WH visit. Obama's foreign policy… @realDonaldTrump","Tue Feb 28 00:34:11 CST 2017",1
"RT : More radical Islam attacks today - it never ends! Strengthen the borders; we must be vigilant and smart. No more being… @realDonaldTrump","Fri Feb 24 14:18:33 CST 2017",1
"RT : ': One of Paris terrorist came as Syrian refugee. Donald Trump is right again. BOMB THEIR OIL - TAKE A… @realDonaldTrump @thewatcher23579","Wed Feb 01 08:01:29 CST 2017",1
"RT : Again; immigration reform is fine—but don’t rush to give away our country. That’s what’s happening! @realDonaldTrump","Mon Feb 06 19:07:04 CST 2017",1
"RT this is what  is trying to keep out of this country @realDonaldTrump","Sun Jan 29 12:25:21 CST 2017",1
