day,count
2016-12-22,13050
2016-12-23,744387
2016-12-24,699178
2016-12-25,675116
2016-12-26,224566
2016-12-27,344016
2016-12-28,635096
2016-12-29,719170
2016-12-30,595785
2016-12-31,708966
2017-01-01,607332
2017-01-02,817647
2017-01-03,1002808
2017-01-04,856400
2017-01-05,883342
2017-01-06,797009
2017-01-07,569353
2017-01-08,897459
2017-01-09,870923
2017-01-10,1072877
2017-01-11,1038263
2017-01-12,964323
2017-01-13,953564
2017-01-14,862485
2017-01-15,938540
2017-01-16,921311
2017-01-17,1055548
2017-01-18,863831
2017-01-19,988095
2017-01-20,411711
2017-01-21,634845
2017-01-22,990595
2017-01-23,1024564
2017-01-24,1044350
2017-01-25,1589554
2017-01-26,1644816
2017-01-27,1477847
2017-01-28,3023337
2017-01-29,3708254
2017-01-30,3429277
2017-01-31,2976938
2017-02-01,2026360
2017-02-02,1773197
2017-02-03,1432048
2017-02-04,1009116
2017-02-05,1514664
2017-02-06,1423697
2017-02-07,1263177
2017-02-08,1481204
2017-02-09,1430781
2017-02-10,1623570
2017-02-11,1470772
2017-02-12,1234496
2017-02-13,1317538
2017-02-14,1201031
2017-02-15,1227692
2017-02-16,1269534
2017-02-17,1270900
2017-02-18,1220886
2017-02-19,1312770
2017-02-20,1530693
2017-02-21,1349892
2017-02-22,1322662
2017-02-23,1281626
2017-02-24,1102662
2017-02-25,1246945
2017-02-26,1157147
2017-02-27,1274133
2017-02-28,1219953
2017-03-01,1317019
2017-03-02,1096011
2017-03-03,1216702
2017-03-04,1008810
2017-03-05,1054257
2017-03-06,1254732
2017-03-07,1295249
2017-03-08,1164234
2017-03-09,500318
2017-03-10,1036595
2017-03-11,990003
2017-03-12,1091057
2017-03-13,1019797
2017-03-14,1096801
2017-03-15,872925
2017-03-16,1293298
2017-03-17,1240726
2017-03-18,1093822
2017-03-19,1062791
2017-03-20,1095793
2017-03-21,980659
2017-03-22,1239383
2017-03-23,1455025
2017-03-24,1178865
2017-03-25,974358
2017-03-26,971428
2017-03-27,1040250
2017-03-28,934928
2017-03-29,1094720
2017-03-30,1099414
2017-03-31,1002264
2017-04-01,892890
2017-04-02,858967
2017-04-03,981983
2017-04-04,798635
