day,language,count
2016-12-22,ar,4232
2016-12-22,ca,5
2016-12-22,cs,1
2016-12-22,de,90
2016-12-22,el,3
2016-12-22,en,7152
2016-12-22,en-AU,1
2016-12-22,en-GB,16
2016-12-22,en-gb,106
2016-12-22,es,315
2016-12-22,eu,1
2016-12-22,fa,2
2016-12-22,fi,3
2016-12-22,fr,296
2016-12-22,gl,2
2016-12-22,hr,2
2016-12-22,hu,2
2016-12-22,id,413
2016-12-22,it,29
2016-12-22,ja,17
2016-12-22,ko,13
2016-12-22,msa,2
2016-12-22,nb,1
2016-12-22,nl,74
2016-12-22,no,6
2016-12-22,pl,9
2016-12-22,pt,70
2016-12-22,ru,22
2016-12-22,sv,18
2016-12-22,th,4
2016-12-22,tr,137
2016-12-22,zh-CN,2
2016-12-22,zh-cn,4
2016-12-23,ar,275902
2016-12-23,bg,8
2016-12-23,bn,6
2016-12-23,ca,258
2016-12-23,cs,96
2016-12-23,da,220
2016-12-23,de,5764
2016-12-23,el,87
2016-12-23,en,365238
2016-12-23,en-AU,55
2016-12-23,en-GB,1773
2016-12-23,en-IN,10
2016-12-23,en-US,6
2016-12-23,en-gb,9298
2016-12-23,es,20033
2016-12-23,es-MX,1
2016-12-23,eu,18
2016-12-23,fa,83
2016-12-23,fi,143
2016-12-23,fil,6
2016-12-23,fr,25020
2016-12-23,fr-CA,1
2016-12-23,ga,1
2016-12-23,gl,28
2016-12-23,he,156
2016-12-23,hi,65
2016-12-23,hr,20
2016-12-23,hu,64
2016-12-23,id,22531
2016-12-23,in,4
2016-12-23,it,1892
2016-12-23,ja,908
2016-12-23,kn,2
2016-12-23,ko,661
2016-12-23,lv,4
2016-12-23,mr,1
2016-12-23,ms,4
2016-12-23,msa,83
2016-12-23,nb,13
2016-12-23,nl,4933
2016-12-23,no,92
2016-12-23,pl,305
2016-12-23,pt,1380
2016-12-23,pt-PT,3
2016-12-23,ro,53
2016-12-23,ru,1319
2016-12-23,sk,3
2016-12-23,sr,10
2016-12-23,sv,756
2016-12-23,ta,1
2016-12-23,th,145
2016-12-23,tr,4717
2016-12-23,uk,11
2016-12-23,ur,10
2016-12-23,vi,22
2016-12-23,xx-lc,31
2016-12-23,zh-CN,36
