day,language,gps,wo_gps
2016-12-22,ar,348,8464
2016-12-22,ca,0,10
2016-12-22,cs,0,2
2016-12-22,de,12,180
2016-12-22,el,0,6
2016-12-22,en,642,14304
2016-12-22,en-AU,0,2
2016-12-22,en-GB,2,32
2016-12-22,en-gb,8,212
2016-12-22,es,42,630
2016-12-22,eu,0,2
2016-12-22,fa,0,4
2016-12-22,fi,0,6
2016-12-22,fr,34,592
2016-12-22,gl,0,4
2016-12-22,hr,0,4
2016-12-22,hu,0,4
2016-12-22,id,50,826
2016-12-22,it,0,58
2016-12-22,ja,4,34
2016-12-22,ko,0,26
2016-12-22,msa,0,4
2016-12-22,nb,0,2
2016-12-22,nl,6,148
2016-12-22,no,2,12
2016-12-22,pl,0,18
2016-12-22,pt,8,140
2016-12-22,ru,4,44
2016-12-22,sv,0,36
2016-12-22,th,0,8
2016-12-22,tr,8,274
2016-12-22,zh-CN,0,4
2016-12-22,zh-cn,0,8
2016-12-23,ar,480334,551804
2016-12-23,bg,14,16
2016-12-23,bn,12,12
2016-12-23,ca,468,516
2016-12-23,cs,178,192
2016-12-23,da,410,440
2016-12-23,de,10814,11528
2016-12-23,el,166,174
2016-12-23,en,629000,730476
2016-12-23,en-AU,86,110
2016-12-23,en-GB,3210,3546
2016-12-23,en-IN,18,20
2016-12-23,en-US,10,12
2016-12-23,en-gb,16374,18596
2016-12-23,es,36458,40066
2016-12-23,es-MX,2,2
2016-12-23,eu,36,36
2016-12-23,fa,148,166
2016-12-23,fi,264,286
2016-12-23,fil,12,12
2016-12-23,fr,46424,50040
2016-12-23,fr-CA,2,2
2016-12-23,ga,2,2
2016-12-23,gl,56,56
2016-12-23,he,290,312
2016-12-23,hi,114,130
2016-12-23,hr,38,40
2016-12-23,hu,118,128
2016-12-23,id,37700,45062
2016-12-23,in,4,8
2016-12-23,it,3528,3784
2016-12-23,ja,1530,1816
2016-12-23,kn,4,4
2016-12-23,ko,1024,1322
2016-12-23,lv,8,8
2016-12-23,mr,2,2
2016-12-23,ms,8,8
2016-12-23,msa,136,166
2016-12-23,nb,24,26
2016-12-23,nl,9312,9866
2016-12-23,no,174,184
2016-12-23,pl,572,610
2016-12-23,pt,2390,2760
2016-12-23,pt-PT,4,6
2016-12-23,ro,96,106
2016-12-23,ru,2380,2638
2016-12-23,sk,6,6
2016-12-23,sr,18,20
2016-12-23,sv,1420,1512
2016-12-23,ta,2,2
2016-12-23,th,214,290
2016-12-23,tr,8512,9434
2016-12-23,uk,22,22
2016-12-23,ur,14,20
2016-12-23,vi,32,44
2016-12-23,xx-lc,52,62
2016-12-23,zh-CN,62,72
2016-12-23,zh-TW,24,32
2016-12-23,zh-cn,90,108
2016-12-23,zh-tw,46,54
2016-12-24,ar,504114,504114
2016-12-24,bg,2,2
2016-12-24,bn,2,2
2016-12-24,ca,532,532
2016-12-24,cs,168,168
2016-12-24,da,358,358
2016-12-24,de,8392,8392
2016-12-24,el,176,176
2016-12-24,en,676526,676526
2016-12-24,en-AU,132,132
2016-12-24,en-GB,3030,3030
2016-12-24,en-IN,14,14
2016-12-24,en-US,8,8
2016-12-24,en-gb,16736,16736
2016-12-24,es,33796,33796
2016-12-24,es-MX,4,4
2016-12-24,eu,32,32
2016-12-24,fa,158,158
2016-12-24,fi,200,200
2016-12-24,fil,10,10
2016-12-24,fr,71758,71758
2016-12-24,fr-CA,10,10
2016-12-24,ga,8,8
2016-12-24,gl,50,50
2016-12-24,he,282,282
2016-12-24,hi,148,148
2016-12-24,hr,54,54
2016-12-24,hu,92,92
2016-12-24,id,52568,52568
2016-12-24,in,20,20
2016-12-24,it,3262,3262
2016-12-24,ja,1600,1600
2016-12-24,ko,202,202
2016-12-24,lt,2,2
2016-12-24,lv,16,16
2016-12-24,ms,12,12
2016-12-24,msa,188,188
2016-12-24,nb,26,26
2016-12-24,nl,8056,8056
2016-12-24,no,186,186
2016-12-24,pl,522,522
2016-12-24,pt,2590,2590
2016-12-24,pt-PT,2,2
2016-12-24,ro,28,28
2016-12-24,ru,2476,2476
2016-12-24,sk,8,8
2016-12-24,sr,18,18
2016-12-24,sv,1136,1136
2016-12-24,ta,2,2
2016-12-24,th,708,708
2016-12-24,tr,7552,7552
2016-12-24,uk,20,20
2016-12-24,ur,46,46
2016-12-24,vi,44,44
2016-12-24,xx-lc,56,56
2016-12-24,zh-CN,40,40
2016-12-24,zh-Hans,2,2
2016-12-24,zh-TW,20,20
2016-12-24,zh-cn,110,110
2016-12-24,zh-tw,46,46
2016-12-25,ar,397463,397463
2016-12-25,bg,3,3
2016-12-25,bn,1,1
2016-12-25,ca,328,328
2016-12-25,cs,102,102
2016-12-25,da,212,212
2016-12-25,de,5365,5365
2016-12-25,el,74,74
2016-12-25,en,410022,410022
2016-12-25,en-AU,62,62
2016-12-25,en-GB,1700,1700
2016-12-25,en-IN,24,24
2016-12-25,en-US,2,2
2016-12-25,en-gb,9829,9829
2016-12-25,es,15919,15919
2016-12-25,es-MX,1,1
2016-12-25,eu,17,17
2016-12-25,fa,145,145
2016-12-25,fi,133,133
2016-12-25,fil,4,4
2016-12-25,fr,40273,40273
2016-12-25,fr-CA,2,2
2016-12-25,ga,5,5
2016-12-25,gl,26,26
2016-12-25,he,194,194
2016-12-25,hi,79,79
2016-12-25,hr,33,33
