date,tag,count,week
2016-12-28,arabic,34,-5.0
2016-12-28,california,34,-5.0
2016-12-28,followback,7,-5.0
2016-12-28,isis,21,-5.0
2016-12-28,islam,104,-5.0
2016-12-28,muhammad,12,-5.0
2016-12-28,muslim,17,-5.0
2016-12-28,quran,39,-5.0
2016-12-28,sydney,34,-5.0
2016-12-28,taliban,15,-5.0
2016-12-28,tourism,34,-5.0
2016-12-28,uganda,34,-5.0
2016-12-28,unga,34,-5.0
2016-12-28,usa,7,-5.0
2016-12-29,allah,7,-5.0
2016-12-29,arabic,56,-5.0
2016-12-29,california,56,-5.0
2016-12-29,christianity,5,-5.0
2016-12-29,god,5,-5.0
2016-12-29,is,8,-5.0
2016-12-29,isis,6,-5.0
2016-12-29,islam,96,-5.0
2016-12-29,muhammad,8,-5.0
2016-12-29,muslim,28,-5.0
2016-12-29,quran,15,-5.0
2016-12-29,sydney,56,-5.0
2016-12-29,taliban,6,-5.0
2016-12-29,tourism,56,-5.0
2016-12-29,uganda,56,-5.0
2016-12-29,unga,56,-5.0
2016-12-29,usa,5,-5.0
2016-12-30,allah,4,-5.0
2016-12-30,arabic,29,-5.0
2016-12-30,california,29,-5.0
2016-12-30,christianity,4,-5.0
2016-12-30,followback,7,-5.0
2016-12-30,is,6,-5.0
2016-12-30,isis,14,-5.0
2016-12-30,islam,63,-5.0
2016-12-30,muhammad,10,-5.0
2016-12-30,muslim,12,-5.0
2016-12-30,quran,18,-5.0
2016-12-30,sydney,29,-5.0
2016-12-30,taliban,4,-5.0
2016-12-30,tourism,29,-5.0
2016-12-30,uganda,29,-5.0
2016-12-30,unga,29,-5.0
2016-12-30,usa,6,-5.0
2016-12-31,allah,7,-4.0
2016-12-31,arabic,52,-4.0
2016-12-31,california,51,-4.0
2016-12-31,christianity,6,-4.0
2016-12-31,god,7,-4.0
2016-12-31,is,7,-4.0
2016-12-31,isis,9,-4.0
2016-12-31,islam,83,-4.0
2016-12-31,muhammad,8,-4.0
2016-12-31,muslim,18,-4.0
2016-12-31,quran,13,-4.0
2016-12-31,sydney,51,-4.0
2016-12-31,taliban,13,-4.0
2016-12-31,tourism,51,-4.0
2016-12-31,uganda,51,-4.0
2016-12-31,unga,51,-4.0
2016-12-31,usa,9,-4.0
2017-01-01,allah,6,-4.0
2017-01-01,arabic,138,-4.0
2017-01-01,california,137,-4.0
2017-01-01,christianity,16,-4.0
2017-01-01,followback,9,-4.0
2017-01-01,god,13,-4.0
2017-01-01,isis,8,-4.0
2017-01-01,islam,200,-4.0
2017-01-01,muhammad,11,-4.0
2017-01-01,muslim,20,-4.0
2017-01-01,quran,23,-4.0
2017-01-01,sydney,137,-4.0
2017-01-01,taliban,8,-4.0
2017-01-01,tourism,137,-4.0
2017-01-01,uganda,137,-4.0
2017-01-01,unga,137,-4.0
2017-01-01,usa,6,-4.0
2017-01-02,allah,15,-4.0
2017-01-02,arabic,152,-4.0
2017-01-02,california,152,-4.0
2017-01-02,followback,6,-4.0
2017-01-02,god,6,-4.0
2017-01-02,is,6,-4.0
2017-01-02,isis,28,-4.0
2017-01-02,islam,244,-4.0
2017-01-02,muhammad,11,-4.0
2017-01-02,muslim,40,-4.0
2017-01-02,quran,37,-4.0
2017-01-02,sydney,152,-4.0
2017-01-02,taliban,17,-4.0
2017-01-02,tourism,152,-4.0
2017-01-02,uganda,152,-4.0
2017-01-02,unga,152,-4.0
2017-01-02,usa,21,-4.0
2017-01-03,arabic,38,-4.0
2017-01-03,california,38,-4.0
2017-01-03,christianity,17,-4.0
2017-01-03,is,27,-4.0
2017-01-03,isis,43,-4.0
2017-01-03,islam,148,-4.0
2017-01-03,muhammad,39,-4.0
2017-01-03,muslim,25,-4.0
2017-01-03,quran,61,-4.0
2017-01-03,sydney,38,-4.0
2017-01-03,taliban,37,-4.0
2017-01-03,tourism,38,-4.0
2017-01-03,uganda,38,-4.0
2017-01-03,unga,38,-4.0
2017-01-03,usa,8,-4.0
2017-01-04,allah,3,-4.0
2017-01-04,arabic,138,-4.0
2017-01-04,california,138,-4.0
2017-01-04,christianity,18,-4.0
2017-01-04,followback,8,-4.0
2017-01-04,immigration,6,-4.0
2017-01-04,is,51,-4.0
2017-01-04,isis,50,-4.0
2017-01-04,islam,210,-4.0
2017-01-04,muhammad,12,-4.0
2017-01-04,muslim,29,-4.0
2017-01-04,quran,33,-4.0
2017-01-04,sydney,138,-4.0
2017-01-04,taliban,45,-4.0
2017-01-04,tourism,138,-4.0
2017-01-04,trump,3,-4.0
2017-01-04,uganda,138,-4.0
2017-01-04,unga,138,-4.0
2017-01-04,usa,4,-4.0
2017-01-05,allah,16,-4.0
2017-01-05,arabic,99,-4.0
2017-01-05,california,99,-4.0
2017-01-05,christianity,22,-4.0
2017-01-05,followback,9,-4.0
2017-01-05,god,10,-4.0
2017-01-05,is,18,-4.0
2017-01-05,isis,47,-4.0
2017-01-05,islam,162,-4.0
2017-01-05,muhammad,9,-4.0
2017-01-05,muslim,35,-4.0
2017-01-05,quran,35,-4.0
2017-01-05,sydney,99,-4.0
2017-01-05,taliban,42,-4.0
2017-01-05,tourism,99,-4.0
2017-01-05,uganda,99,-4.0
2017-01-05,unga,99,-4.0
2017-01-05,usa,5,-4.0
2017-01-06,arabic,36,-4.0
2017-01-06,california,36,-4.0
2017-01-06,followback,10,-4.0
2017-01-06,god,7,-4.0
2017-01-06,is,11,-4.0
2017-01-06,isis,25,-4.0
2017-01-06,islam,90,-4.0
2017-01-06,muslim,20,-4.0
2017-01-06,quran,23,-4.0
2017-01-06,sydney,36,-4.0
2017-01-06,taliban,26,-4.0
2017-01-06,tourism,36,-4.0
2017-01-06,uganda,36,-4.0
2017-01-06,unga,36,-4.0
2017-01-07,allah,15,-3.0
2017-01-07,arabic,53,-3.0
2017-01-07,california,53,-3.0
2017-01-07,christianity,16,-3.0
2017-01-07,followback,2,-3.0
2017-01-07,god,27,-3.0
2017-01-07,isis,22,-3.0
2017-01-07,islam,130,-3.0
2017-01-07,muhammad,6,-3.0
2017-01-07,muslim,37,-3.0
2017-01-07,quran,34,-3.0
2017-01-07,sydney,53,-3.0
2017-01-07,taliban,22,-3.0
2017-01-07,tourism,53,-3.0
2017-01-07,uganda,53,-3.0
2017-01-07,unga,53,-3.0
2017-01-07,usa,14,-3.0
2017-01-08,allah,11,-3.0
2017-01-08,arabic,46,-3.0
2017-01-08,california,46,-3.0
2017-01-08,christianity,8,-3.0
2017-01-08,god,12,-3.0
2017-01-08,immigration,4,-3.0
2017-01-08,isis,24,-3.0
2017-01-08,islam,121,-3.0
2017-01-08,muhammad,5,-3.0
2017-01-08,muslim,26,-3.0
2017-01-08,quran,21,-3.0
2017-01-08,sydney,46,-3.0
2017-01-08,taliban,17,-3.0
2017-01-08,tourism,46,-3.0
2017-01-08,uganda,46,-3.0
2017-01-08,unga,46,-3.0
2017-01-08,usa,9,-3.0
2017-01-09,allah,8,-3.0
2017-01-09,christianity,7,-3.0
2017-01-09,followback,3,-3.0
2017-01-09,god,12,-3.0
