date,immigrant,immigration,total,week
2016-12-28,334,1040,43596,-5.0
2016-12-29,136,363,21057,-5.0
2016-12-30,149,322,17247,-5.0
2016-12-31,198,336,22802,-4.0
2017-01-01,188,604,32887,-4.0
2017-01-02,709,2018,94306,-4.0
2017-01-03,328,914,52666,-4.0
2017-01-04,434,1175,62852,-4.0
2017-01-05,765,1341,71475,-4.0
2017-01-06,358,811,45440,-4.0
2017-01-07,494,1078,63693,-3.0
2017-01-08,577,1435,70160,-3.0
2017-01-09,542,898,37201,-3.0
2017-01-10,1040,2781,67987,-3.0
2017-01-11,602,2457,83306,-3.0
2017-01-12,851,2975,91301,-3.0
2017-01-13,707,1395,59547,-3.0
2017-01-14,1416,1874,87127,-2.0
2017-01-15,594,1285,58918,-2.0
2017-01-16,710,1077,54950,-2.0
2017-01-17,447,1537,73010,-2.0
2017-01-18,616,1410,84159,-2.0
2017-01-19,840,2027,81775,-2.0
2017-01-20,1423,2109,67568,-2.0
2017-01-21,2619,3230,133534,-1.0
2017-01-22,847,1556,74629,-1.0
2017-01-23,2140,1962,81112,-1.0
2017-01-24,3233,11914,155708,-1.0
2017-01-25,33118,74829,600573,-1.0
2017-01-26,23445,32019,453409,-1.0
2017-01-27,16383,28844,442553,-1.0
2017-01-28,55111,177043,1392694,0.0
2017-01-29,85320,288291,1904892,1.0
2017-01-30,45187,198195,1304930,1.0
2017-01-31,33345,122282,980607,1.0
2017-02-01,14763,42549,523669,1.0
2017-02-02,10469,28757,337801,1.0
2017-02-03,9338,56331,452335,1.0
2017-02-04,8478,53448,445927,1.0
2017-02-05,9986,29053,320339,2.0
2017-02-06,7672,30943,302967,2.0
2017-02-07,5212,23064,235437,2.0
2017-02-08,5547,15696,271200,2.0
2017-02-09,11963,45718,395966,2.0
2017-02-10,9758,32058,343822,2.0
2017-02-11,9060,17013,236311,2.0
2017-02-12,8592,20691,274406,3.0
2017-02-13,5272,16622,196097,3.0
2017-02-14,5037,8499,163632,3.0
2017-02-15,7262,11307,238344,3.0
2017-02-16,33906,34505,399978,3.0
2017-02-17,12328,26821,346092,3.0
2017-02-18,7796,15378,323121,3.0
2017-02-19,9186,22457,300900,4.0
2017-02-20,13957,30558,326165,4.0
2017-02-21,15203,28516,310822,4.0
2017-02-22,10891,29468,319658,4.0
2017-02-23,7736,17643,247257,4.0
2017-02-24,8365,19964,278073,4.0
2017-02-25,7180,14422,290191,4.0
2017-02-26,4151,7571,194680,5.0
2017-02-27,3281,11599,174771,5.0
