clean,eng,f_name,gps,label,message,orig,stem,time
141850.0,141850.0,../data/external/scrape/tweets_immigrant_34315.csv,885.0,1483.0,274215.0,274900.0,141849.0,15.76026439666748
180172.0,180172.0,../data/external/scrape/tweets_immigrant_34316.csv,2328.0,2341.0,374678.0,375600.0,180170.0,19.380396604537964
172860.0,172860.0,../data/external/scrape/tweets_immigrant_34317.csv,2237.0,2237.0,357266.0,358100.0,172860.0,19.39041543006897
174685.0,174685.0,../data/external/scrape/tweets_immigrant_34318.csv,1263.0,1263.0,354354.0,355200.0,174681.0,17.758153676986694
147826.0,147826.0,../data/external/scrape/tweets_immigrant_34319.csv,882.0,882.0,346303.0,346900.0,147825.0,14.366332530975342
156660.0,156660.0,../data/external/scrape/tweets_immigrant_34320.csv,2514.0,2514.0,346816.0,347591.0,156660.0,17.230703115463257
133064.0,133064.0,../data/external/scrape/tweets_immigrant_34321.csv,1407.0,1407.0,285484.0,286100.0,133062.0,13.52964472770691
12535.0,12535.0,../data/external/scrape/tweets_immigrant_34322.csv,114.0,114.0,29953.0,30008.0,12535.0,1.4694361686706543
124851.0,124851.0,../data/external/scrape/tweets_immigrant_34323.csv,634.0,1064.0,259909.0,260500.0,124851.0,13.440280437469482
60550.0,60550.0,../data/external/scrape/tweets_immigrant_34324.csv,387.0,387.0,120717.0,121042.0,60550.0,7.500315189361572
146700.0,146700.0,../data/external/scrape/tweets_immigrant_34325.csv,1067.0,1067.0,302497.0,303200.0,146699.0,15.433759689331055
169829.0,169829.0,../data/external/scrape/tweets_immigrant_34326.csv,1137.0,1137.0,336204.0,337100.0,169827.0,17.636359453201294
162694.0,162694.0,../data/external/scrape/tweets_immigrant_34327.csv,1004.0,1004.0,350920.0,351700.0,162694.0,17.004843950271606
156718.0,156718.0,../data/external/scrape/tweets_immigrant_34328.csv,1094.0,1094.0,354466.0,355400.0,156717.0,16.58314871788025
143076.0,143076.0,../data/external/scrape/tweets_immigrant_34329.csv,1228.0,1228.0,308435.0,309100.0,143075.0,14.39800477027893
139865.0,139865.0,../data/external/scrape/tweets_immigrant_34330.csv,901.0,901.0,301725.0,302400.0,139865.0,15.253064155578613
145904.0,145904.0,../data/external/scrape/tweets_immigrant_34331.csv,1067.0,1067.0,336264.0,336900.0,145903.0,14.959221124649048
155997.0,155997.0,../data/external/scrape/tweets_immigrant_34332.csv,1297.0,1297.0,370902.0,371600.0,155997.0,16.899024963378906
129218.0,129218.0,../data/external/scrape/tweets_immigrant_34333.csv,787.0,787.0,287101.0,287700.0,129217.0,14.861286640167236
149951.0,149951.0,../data/external/scrape/tweets_immigrant_34334.csv,916.0,916.0,322050.0,323000.0,149951.0,15.564104795455933
145208.0,145208.0,../data/external/scrape/tweets_immigrant_34335.csv,669.0,669.0,308029.0,308900.0,145206.0,14.571578741073608
181312.0,181312.0,../data/external/scrape/tweets_immigrant_34336.csv,1675.0,1675.0,446110.0,447000.0,181311.0,19.578073978424072
185446.0,185446.0,../data/external/scrape/tweets_immigrant_34337.csv,861.0,861.0,492271.0,493000.0,185446.0,19.362207889556885
201378.0,201378.0,../data/external/scrape/tweets_immigrant_34338.csv,830.0,830.0,523241.0,524200.0,201378.0,20.73851251602173
162181.0,162181.0,../data/external/scrape/tweets_immigrant_34339.csv,844.0,844.0,392775.0,393500.0,162181.0,16.387309789657593
187923.0,187923.0,../data/external/scrape/tweets_immigrant_34340.csv,744.0,744.0,466416.0,467300.0,187922.0,18.601208448410034
173291.0,173291.0,../data/external/scrape/tweets_immigrant_34341.csv,598.0,598.0,445537.0,446300.0,173291.0,16.347110271453857
169921.0,169921.0,../data/external/scrape/tweets_immigrant_34342.csv,711.0,711.0,437260.0,438193.0,169921.0,16.82770037651062
173874.0,173874.0,../data/external/scrape/tweets_immigrant_34343.csv,704.0,704.0,476129.0,476786.0,173874.0,17.553820610046387
176087.0,176087.0,../data/external/scrape/tweets_immigrant_34344.csv,1200.0,1200.0,444935.0,445700.0,176085.0,17.972412824630737
184376.0,184376.0,../data/external/scrape/tweets_immigrant_34345.csv,1597.0,3441.0,424465.0,425301.0,184374.0,18.50775957107544
196448.0,196448.0,../data/external/scrape/tweets_immigrant_34346.csv,8352.0,8583.0,447355.0,448700.0,196448.0,20.375896453857422
187616.0,187616.0,../data/external/scrape/tweets_immigrant_34347.csv,3066.0,3113.0,446927.0,447900.0,187616.0,19.265753269195557
192894.0,192894.0,../data/external/scrape/tweets_immigrant_34348.csv,2538.0,2538.0,455374.0,456500.0,192894.0,20.60714030265808
168073.0,168073.0,../data/external/scrape/tweets_immigrant_34349.csv,1553.0,1553.0,441283.0,442100.0,168072.0,16.76149010658264
162398.0,162398.0,../data/external/scrape/tweets_immigrant_34350.csv,2198.0,2198.0,420741.0,421600.0,162398.0,16.573248624801636
183607.0,183607.0,../data/external/scrape/tweets_immigrant_34351.csv,1045.0,1045.0,496539.0,497300.0,183607.0,18.38820743560791
235101.0,235101.0,../data/external/scrape/tweets_immigrant_34352.csv,900.0,900.0,560273.0,561500.0,235100.0,24.596062660217285
229742.0,229742.0,../data/external/scrape/tweets_immigrant_34353.csv,1509.0,1509.0,514688.0,515700.0,229739.0,23.181639194488525
219429.0,219429.0,../data/external/scrape/tweets_immigrant_34354.csv,1296.0,1296.0,537923.0,539000.0,219429.0,23.318952798843384
190635.0,190635.0,../data/external/scrape/tweets_immigrant_34355.csv,1790.0,1790.0,479333.0,480200.0,190635.0,20.24793028831482
193228.0,193228.0,../data/external/scrape/tweets_immigrant_34356.csv,1162.0,1162.0,470393.0,471400.0,193226.0,20.34250569343567
213262.0,213262.0,../data/external/scrape/tweets_immigrant_34357.csv,1691.0,1691.0,542189.0,543100.0,213257.0,22.662960052490234
183235.0,183235.0,../data/external/scrape/tweets_immigrant_34358.csv,1331.0,1331.0,434470.0,435600.0,183233.0,20.285553455352783
178930.0,178930.0,../data/external/scrape/tweets_immigrant_34359.csv,1356.0,1356.0,421923.0,422800.0,178929.0,19.089133739471436
177406.0,177406.0,../data/external/scrape/tweets_immigrant_34360.csv,1229.0,1229.0,412056.0,413000.0,177406.0,18.02812099456787
191823.0,191823.0,../data/external/scrape/tweets_immigrant_34361.csv,995.0,995.0,477846.0,478600.0,191821.0,20.072950839996338
185683.0,185683.0,../data/external/scrape/tweets_immigrant_34362.csv,1374.0,1374.0,455843.0,456800.0,185682.0,18.78833794593811
202267.0,202267.0,../data/external/scrape/tweets_immigrant_34363.csv,1642.0,1642.0,505295.0,506300.0,202266.0,20.522039890289307
193437.0,193437.0,../data/external/scrape/tweets_immigrant_34364.csv,1660.0,1660.0,461785.0,463200.0,193437.0,20.437570333480835
171062.0,171062.0,../data/external/scrape/tweets_immigrant_34365.csv,1538.0,1538.0,416480.0,417400.0,171062.0,16.890225887298584
236917.0,236917.0,../data/external/scrape/tweets_immigrant_34366.csv,1599.0,1599.0,555353.0,556483.0,236916.0,23.573742866516113
184763.0,184763.0,../data/external/scrape/tweets_immigrant_34367.csv,1036.0,1036.0,468935.0,469700.0,184763.0,17.649690628051758
176224.0,176224.0,../data/external/scrape/tweets_immigrant_34368.csv,1034.0,1034.0,419998.0,421000.0,176223.0,17.678210020065308
187777.0,187777.0,../data/external/scrape/tweets_immigrant_34369.csv,763.0,763.0,507899.0,508600.0,187777.0,18.987173080444336
